Family,Genus,Species,DataID,SciName,Family_encode,Fam_Sample,Fam_Specie,Family_encodeYY
Geometridae,Cyclophora,effeminata,A35-20180906-004_TESRI_0.jpg,Cyclophora effeminata,37,4794,3198,0
Hesperiidae,Chioides,ixion,1039044372_YPM_3859_0.jpg,Chioides ixion,44,1449,589,3
Coleophoridae,Coleophora,caelebipennella,3003685834_TAM_63_0.jpg,Coleophora caelebipennella,19,35,31,45
Papilionidae,Troides,prattorum,2446317629_NHMUK_3434_0.jpg,Troides prattorum,68,1101,365,11
Nolidae,Nola,fasciata,A35-20141116-172_TESRI_0.jpg,Nola fasciata,63,338,163,31
Saturniidae,Ormiscodes,socialis,1039046589_YPM_3598_0.jpg,Ormiscodes socialis,79,668,312,18
Pieridae,Pieris,brassicae,1291198576_NHMUK_74_0.jpg,Pieris brassicae,69,3076,852,9
Pieridae,Anthocharis,damone,1322486459_USNM_4219_0.jpg,Anthocharis damone,69,3076,852,9
Drepanidae,Dipriodonta,minima,A38-20160811-074_TESRI_0.jpg,Dipriodonta minima,23,222,84,16
Papilionidae,Papilio,helena,1322394548_USNM_6711_0.jpg,Papilio helena,68,1101,365,11
Noctuidae,Adonisea,siren,1899209688_MISSA_1969_0.jpg,Adonisea siren,62,3747,2218,2
Oecophoridae,Inga,concolorella,1585224247_MISSA_1850_0.jpg,Inga concolorella,66,67,59,34
Noctuidae,Panthea,grisea,V03-20140917-061_TESRI_0.jpg,Panthea grisea,62,3747,2218,2
Hesperiidae,Mastor,nereus,1039104472_YPM_3280_1.jpg,Mastor nereus,44,1449,589,3
Tortricidae,Hedya,tsushimaensis,1317722746_USNM_12361_0.jpg,Hedya tsushimaensis,91,901,787,17
Erebidae,Eilema,homochroma,1883279674_MNHN_513_1.jpg,Eilema homochroma,29,5090,2667,1
Lycaenidae,Polyommatus,eros,1039166547_YPM_3455_1.jpg,Polyommatus eros,53,1492,708,6
Sphingidae,Acosmerycoides,harterti,M13-20140429-124_TESRI_0.jpg,Acosmerycoides harterti,84,642,398,10
Erebidae,Asota,heliconia,zebrina_A34-20130902-091_TESRI_0.jpg,Asota heliconia,29,5090,2667,1
Noctuidae,Oncocnemis,chandleri,2884381513_CSU_407_0.jpg,Oncocnemis chandleri,62,3747,2218,2
Pieridae,Cepora,perimale,1039175945_YPM_2398_0.jpg,Cepora perimale,69,3076,852,9
Pieridae,Cepora,pactolicus,1317221893_USNM_9362_0.jpg,Cepora pactolicus,69,3076,852,9
Geometridae,Hydria,cervinalis,3003600159_TAM_2154_0.jpg,Hydria cervinalis,37,4794,3198,0
Erebidae,Viviennea,moma,1838885932_MISSA_2137_0.jpg,Viviennea moma,29,5090,2667,1
Erebidae,Scaptius,cerdai,1883280003_MNHN_1961_1.jpg,Scaptius cerdai,29,5090,2667,1
Nymphalidae,Anaea,ryphea,1318354493_USNM_2451_0.jpg,Anaea ryphea,65,4037,1666,4
Geometridae,Ophthalmophora,monanaria,1320624736_USNM_10530_0.jpg,Ophthalmophora monanaria,37,4794,3198,0
Hesperiidae,Nyctelius,nyctelius,1981440664_MISSA_2365_0.jpg,Nyctelius nyctelius,44,1449,589,3
Geometridae,Scotopteryx,junctata,3003633129_TAM_3875_0.jpg,Scotopteryx junctata,37,4794,3198,0
Noctuidae,Tycracona,obliqua,V36-20181117-217_TESRI_0.jpg,Tycracona obliqua,62,3747,2218,2
Notodontidae,Marthula,grisescens,1322664250_USNM_2576_0.jpg,Marthula grisescens,64,739,528,15
Erebidae,Luceria,oculalis,A42-20161102-019_TESRI_0.jpg,Luceria oculalis,29,5090,2667,1
Nymphalidae,Adelpha,delinita,1039055839_YPM_2268_1.jpg,Adelpha delinita,65,4037,1666,4
Erebidae,Holomelina,laeta,2432247677_CSU_36_0.jpg,Holomelina laeta,29,5090,2667,1
Papilionidae,Graphium,angolanus,1039063000_YPM_776_1.jpg,Graphium angolanus,68,1101,365,11
Erebidae,Drasteria,habibazel,1437758347_MNHN_1406_1.jpg,Drasteria habibazel,29,5090,2667,1
Erebidae,Euproctis,magna,V24-20190112-030_TESRI_0.jpg,Euproctis magna,29,5090,2667,1
Noctuidae,Lithophane,joannis,2268760199_MISSA_3986_0.jpg,Lithophane joannis,62,3747,2218,2
Geometridae,Rheumaptera,hastata,3003615033_TAM_3297_0.jpg,Rheumaptera hastata,37,4794,3198,0
Nolidae,Nola,aerugula,1825898315_NHMUK_1458_0.jpg,Nola aerugula,63,338,163,31
Saturniidae,Copiopteryx,semiramis,1039076527_YPM_127_1.jpg,Copiopteryx semiramis,79,668,312,18
Geometridae,Lomaspilis,marginata,3003609202_TAM_331_0.jpg,Lomaspilis marginata,37,4794,3198,0
Nymphalidae,Neruda,metharme,1265627118_NHMUK_5952_0.jpg,Neruda metharme,65,4037,1666,4
Nolidae,Risoba,prominens,V04-20140721-060_TESRI_0.jpg,Risoba prominens,63,338,163,31
Geometridae,Camptogramma,bilineata,3017394586_UTE_100_0.jpg,Camptogramma bilineata,37,4794,3198,0
Noctuidae,Acronicta,retardata,1844269531_MISSA_2506_0.jpg,Acronicta retardata,62,3747,2218,2
Erebidae,Enispa,bilineata,V24-20190413-033_TESRI_0.jpg,Enispa bilineata,29,5090,2667,1
Noctuidae,Mythimna,radiata,V04-20160228-053_TESRI_0.jpg,Mythimna radiata,62,3747,2218,2
Noctuidae,Lasionycta,silacea,2580052263_CSU_371_0.jpg,Lasionycta silacea,62,3747,2218,2
Erebidae,Locharna,strigipennis,V17-20150307-030_TESRI_0.jpg,Locharna strigipennis,29,5090,2667,1
Pyralidae,Aglossa,caprealis,1890894278_MISSA_663_0.jpg,Aglossa caprealis,75,531,348,14
Nymphalidae,Catuna,oberthueri,1039188793_YPM_2959_0.jpg,Catuna oberthueri,65,4037,1666,4
Erebidae,Leucoma,lechrisemata,1913644782_MNHN_2062_1.jpg,Leucoma lechrisemata,29,5090,2667,1
Geometridae,Ardonis,filicata,A32-20111024-054_TESRI_0.jpg,Ardonis filicata,37,4794,3198,0
Sphingidae,Macropoliana,natalensis,1055332831_NHMUK_4753_0.jpg,Macropoliana natalensis,84,642,398,10
Noctuidae,Leucania,insueta,2884376383_CSU_2443_0.jpg,Leucania insueta,62,3747,2218,2
Tortricidae,Aethes,smeathmanniana,3003618663_TAM_1141_0.jpg,Aethes smeathmanniana,91,901,787,17
Sphingidae,Manduca,muscosa,1882416163_NHMUK_4653_0.jpg,Manduca muscosa,84,642,398,10
Hesperiidae,Atrytone,arogos,2432367513_CSU_662_0.jpg,Atrytone arogos,44,1449,589,3
Noctuidae,Stenoloba,manleyi,formosana_B29-20131018-015_TESRI_0.jpg,Stenoloba manleyi,62,3747,2218,2
Pieridae,Catasticta,poujadei,1321577055_USNM_5074_0.jpg,Catasticta poujadei,69,3076,852,9
Pyralidae,Pococera,asperatella,1949262763_MISSA_1784_0.jpg,Pococera asperatella,75,531,348,14
Saturniidae,Arsenura,armida,1039069660_YPM_2670_0.jpg,Arsenura armida,79,668,312,18
Erebidae,Catocala,formosana,A58-20170830-004_TESRI_0.jpg,Catocala formosana,29,5090,2667,1
Papilionidae,Papilio,mackinnoni,1039080137_YPM_2682_0.jpg,Papilio mackinnoni,68,1101,365,11
Gelechiidae,Chionodes,trico,1317656308_USNM_11396_0.jpg,Chionodes trico,36,421,369,20
Erebidae,Sosxetra,grata,2234825186_MISSA_1817_0.jpg,Sosxetra grata,29,5090,2667,1
Pyralidae,Melitara,prodenialis,1932756239_MSU_785_0.jpg,Melitara prodenialis,75,531,348,14
Geometridae,Percnia,suffusa,V31-20170415-043_TESRI_0.jpg,Percnia suffusa,37,4794,3198,0
Nymphalidae,Coenonympha,glycerion,3017394512_UTE_44_0.jpg,Coenonympha glycerion,65,4037,1666,4
Noctuidae,Callyna,semivitta,A34-20130506-087_TESRI_0.jpg,Callyna semivitta,62,3747,2218,2
Noctuidae,Batuana,lobeliarum,1671692078_MNHN_1621_1.jpg,Batuana lobeliarum,62,3747,2218,2
Pieridae,Gonepteryx,rhamni,1039147394_YPM_1487_0.jpg,Gonepteryx rhamni,69,3076,852,9
Noctuidae,Mythimna,pulchra,V34-20170428-017_TESRI_0.jpg,Mythimna pulchra,62,3747,2218,2
Saturniidae,Antheraea,compta,1882416187_NHMUK_4158_0.jpg,Antheraea compta,79,668,312,18
Erebidae,Paracolax,tristalis,3003607295_TAM_1399_0.jpg,Paracolax tristalis,29,5090,2667,1
Crambidae,Cirrhochrista,spissalis,A42-20170629-054_TESRI_0.jpg,Cirrhochrista spissalis,22,1196,693,7
Erebidae,Clystea,leucaspis,1883280252_MNHN_621_1.jpg,Clystea leucaspis,29,5090,2667,1
Geometridae,Cidaria,gustosa,1322128416_USNM_7769_0.jpg,Cidaria gustosa,37,4794,3198,0
Geometridae,Certima,rufa,1321338228_USNM_10526_0.jpg,Certima rufa,37,4794,3198,0
Sematuridae,Homidiana,canace,1056331618_NHMUK_3007_0.jpg,Homidiana canace,82,3,3,54
Crambidae,Scoparia,basistrigalis,3003614621_TAM_618_0.jpg,Scoparia basistrigalis,22,1196,693,7
Geometridae,Trichopterigia,sanguinipunctata,A48-20160601-079_TESRI_0.jpg,Trichopterigia sanguinipunctata,37,4794,3198,0
Pyralidae,Hypsopygia,mauritialis,A53-20160424-028_TESRI_0.jpg,Hypsopygia mauritialis,75,531,348,14
Hesperiidae,Cymaenes,tripunctus,1039034285_YPM_722_0.jpg,Cymaenes tripunctus,44,1449,589,3
Geometridae,Dooabia,alia,A43-20160906-219_TESRI_0.jpg,Dooabia alia,37,4794,3198,0
Papilionidae,Parides,photinus,1321240908_USNM_9442_0.jpg,Parides photinus,68,1101,365,11
Nymphalidae,Acraea,caldarena,1039077814_YPM_1128_0.jpg,Acraea caldarena,65,4037,1666,4
Geometridae,Somatina,rosacea,anaemica_A42-20170221-047_TESRI_0.jpg,Somatina rosacea,37,4794,3198,0
Eupterotidae,Paracydas,postpallida,1882416056_NHMUK_5557_0.jpg,Paracydas postpallida,33,32,22,19
Erebidae,Lymantria,xylina,A42-20180613-120_TESRI_0.jpg,Lymantria xylina,29,5090,2667,1
Geometridae,Alcis,eupithicoides,1836100486_NHMUK_3240_0.jpg,Alcis eupithicoides,37,4794,3198,0
Nymphalidae,Pteronymia,fulvimargo,1039087627_YPM_1404_0.jpg,Pteronymia fulvimargo,65,4037,1666,4
Geometridae,Stamnodes,gibbicostata,2432302218_CSU_815_0.jpg,Stamnodes gibbicostata,37,4794,3198,0
Limacodidae,Iraga,rugosa,A35-20170425-331_TESRI_0.jpg,Iraga rugosa,52,150,73,39
Tortricidae,Cephalophyes,cyanura,V39-20180209-058_TESRI_0.jpg,Cephalophyes cyanura,91,901,787,17
Pieridae,Pereute,callinice,1318252945_USNM_8189_0.jpg,Pereute callinice,69,3076,852,9
Papilionidae,Papilio,dardanus,1039090347_YPM_176_0.jpg,Papilio dardanus,68,1101,365,11
Crambidae,Omiodes,diemenalis,V32-20171216-157_TESRI_0.jpg,Omiodes diemenalis,22,1196,693,7
Erebidae,Anomis,madida,1570703444_MNHN_2661_0.jpg,Anomis madida,29,5090,2667,1
Erebidae,Caenurgia,chloropha,2013055113_MISSA_3475_0.jpg,Caenurgia chloropha,29,5090,2667,1
Geometridae,Fascellina,subsignata,V02-20140721-066_TESRI_0.jpg,Fascellina subsignata,37,4794,3198,0
Lasiocampidae,Dendrolimus,arizana,A48-20150512-114_TESRI_0.jpg,Dendrolimus arizana,49,151,67,21
Papilionidae,Papilio,albinus,2236802978_NHMUK_2328_0.jpg,Papilio albinus,68,1101,365,11
Gelechiidae,Gelechia,jakovlevi,3003608845_TAM_116_0.jpg,Gelechia jakovlevi,36,421,369,20
Tortricidae,Archips,semiferanus,1585221229_MISSA_252_0.jpg,Archips semiferanus,91,901,787,17
Pieridae,Catasticta,scurra,1317769809_USNM_5702_0.jpg,Catasticta scurra,69,3076,852,9
Gelechiidae,Chionodes,sevir,1318184609_USNM_6524_0.jpg,Chionodes sevir,36,421,369,20
Argyresthiidae,Argyresthia,spinosella,3003604810_TAM_305_0.jpg,Argyresthia spinosella,5,10,10,65
Pyralidae,Dasypyga,alternosquamella,2432339212_CSU_1777_0.jpg,Dasypyga alternosquamella,75,531,348,14
Erebidae,Caryonopera,mainty,1587261180_MNHN_1128_1.jpg,Caryonopera mainty,29,5090,2667,1
Geometridae,Berta,rugosivalva,A43-20170221-027_TESRI_0.jpg,Berta rugosivalva,37,4794,3198,0
Sphingidae,Dahira,taiwana,A47-20150318-071_TESRI_0.jpg,Dahira taiwana,84,642,398,10
Papilionidae,Pachliopta,polyphontes,1317715024_USNM_8477_0.jpg,Pachliopta polyphontes,68,1101,365,11
Pieridae,Gonepteryx,cleopatra,1322057603_USNM_4459_0.jpg,Gonepteryx cleopatra,69,3076,852,9
Geometridae,Nemoria,dyarii,1319790548_USNM_1338_0.jpg,Nemoria dyarii,37,4794,3198,0
Erebidae,Adrapsa,luma,1563875432_MNHN_2773_0.jpg,Adrapsa luma,29,5090,2667,1
Pieridae,Delias,flavissima,1837858632_NHMUK_3725_0.jpg,Delias flavissima,69,3076,852,9
Nymphalidae,Hermeuptychia,harmonia,1825758833_NHMUK_5499_0.jpg,Hermeuptychia harmonia,65,4037,1666,4
Erebidae,Bertula,hadenalis,persimilis_A35-20160111-017_TESRI_0.jpg,Bertula hadenalis,29,5090,2667,1
Geometridae,Pelurga,comitata,1825879422_NHMUK_456_0.jpg,Pelurga comitata,37,4794,3198,0
Erebidae,Illice,inaurata,1883280250_MNHN_855_0.jpg,Illice inaurata,29,5090,2667,1
Pieridae,Eurema,laeta,1322493191_USNM_6472_0.jpg,Eurema laeta,69,3076,852,9
Geometridae,Nipteria,manchata,1318571682_USNM_1830_0.jpg,Nipteria manchata,37,4794,3198,0
Geometridae,Nothomiza,flavicosta,A58-20180610-177_TESRI_0.jpg,Nothomiza flavicosta,37,4794,3198,0
Noctuidae,Apamea,commoda,2580059249_CSU_1592_0.jpg,Apamea commoda,62,3747,2218,2
Erebidae,Catocala,similis,2013053900_MISSA_1593_0.jpg,Catocala similis,29,5090,2667,1
Geometridae,Hyposidra,infixaria,A42-20160713-012_TESRI_0.jpg,Hyposidra infixaria,37,4794,3198,0
Erebidae,Hypena,crassalis,1847683133_NHMUK_1001_0.jpg,Hypena crassalis,29,5090,2667,1
Pieridae,Colias,tyche,1039194325_YPM_2616_1.jpg,Colias tyche,69,3076,852,9
Geometridae,Macaria,abydata,A35-20140101-058_TESRI_0.jpg,Macaria abydata,37,4794,3198,0
Noctuidae,Callopistria,malagasy,1570703440_MNHN_2620_0.jpg,Callopistria malagasy,62,3747,2218,2
Notodontidae,Peridea,murina,3003690357_TAM_828_0.jpg,Peridea murina,64,739,528,15
Noctuidae,Viridistria,viridipicta,A43-20150408-036_TESRI_0.jpg,Viridistria viridipicta,62,3747,2218,2
Erebidae,Barsine,dingjiai,A49-20150415-018_TESRI_0.jpg,Barsine dingjiai,29,5090,2667,1
Erebidae,Catocala,pataloides,V37-20180716-001_TESRI_0.jpg,Catocala pataloides,29,5090,2667,1
Erebidae,Adrapsa,luma,1563875432_MNHN_2773_1.jpg,Adrapsa luma,29,5090,2667,1
Erebidae,Dasychira,sakaraha,1913644798_MNHN_2132_0.jpg,Dasychira sakaraha,29,5090,2667,1
Erebidae,Parafodina,andriai,1587260997_MNHN_2178_0.jpg,Parafodina andriai,29,5090,2667,1
Nolidae,Gabala,roseoretis,A34-20130902-075_TESRI_0.jpg,Gabala roseoretis,63,338,163,31
Tortricidae,Pelochrista,zomonana,1838881832_MISSA_1939_0.jpg,Pelochrista zomonana,91,901,787,17
Pieridae,Colias,alexandra,2432285317_CSU_136_0.jpg,Colias alexandra,69,3076,852,9
Erebidae,Eulepidotis,sylpha,2234820525_MISSA_3317_0.jpg,Eulepidotis sylpha,29,5090,2667,1
Noctuidae,Axylia,putris,triseriata_V38-20190309-063_TESRI_0.jpg,Axylia putris,62,3747,2218,2
Geometridae,Macaria,adonis,1932764651_MSU_1407_0.jpg,Macaria adonis,37,4794,3198,0
Prodoxidae,Greya,subalba,1585220813_MISSA_2958_0.jpg,Greya subalba,72,11,10,58
Geometridae,Coenocalpe,dentilinea,1322236319_USNM_7611_0.jpg,Coenocalpe dentilinea,37,4794,3198,0
Pieridae,Catasticta,similis,1321546458_USNM_2134_0.jpg,Catasticta similis,69,3076,852,9
Erebidae,Hypena,cracens,1990805003_MNHN_1439_0.jpg,Hypena cracens,29,5090,2667,1
Geometridae,Hemistola,simplex,A63-20180319-010_TESRI_0.jpg,Hemistola simplex,37,4794,3198,0
Pieridae,Aporia,hippia,1317937189_USNM_8970_0.jpg,Aporia hippia,69,3076,852,9
Nymphalidae,Hamanumida,daedalus,1837858824_NHMUK_5704_0.jpg,Hamanumida daedalus,65,4037,1666,4
Nolidae,Risoba,yanagitai,A34-20151209-134_TESRI_0.jpg,Risoba yanagitai,63,338,163,31
Nymphalidae,Lasiommata,megera,1039185509_YPM_478_1.jpg,Lasiommata megera,65,4037,1666,4
Noctuidae,Phlogophora,meticulosa,2244420418_MISSA_231_0.jpg,Phlogophora meticulosa,62,3747,2218,2
Nymphalidae,Memphis,forreri,1320761708_USNM_6503_0.jpg,Memphis forreri,65,4037,1666,4
Lycaenidae,Satyrium,edwardsii,1039192905_YPM_2222_0.jpg,Satyrium edwardsii,53,1492,708,6
Eupterotidae,Apha,horishana,V24-20190112-182_TESRI_0.jpg,Apha horishana,33,32,22,19
Pieridae,Delias,belladonna,1837858797_NHMUK_2182_0.jpg,Delias belladonna,69,3076,852,9
Mimallonidae,Cicinnus,bilinea,1826441963_NHMUK_2417_0.jpg,Cicinnus bilinea,58,48,44,38
Nymphalidae,Hamadryas,laodamia,1039178009_YPM_650_0.jpg,Hamadryas laodamia,65,4037,1666,4
Notodontidae,Gluphisia,wrightii,2432371984_CSU_677_0.jpg,Gluphisia wrightii,64,739,528,15
Pyralidae,Peoria,insularis,1993807054_MISSA_3298_0.jpg,Peoria insularis,75,531,348,14
Gelechiidae,Deltophora,glandiferella,1585263785_MISSA_3364_0.jpg,Deltophora glandiferella,36,421,369,20
Erebidae,Mosopia,punctilinea,A42-20180318-015_TESRI_0.jpg,Mosopia punctilinea,29,5090,2667,1
Geometridae,Chartographa,convexa,A38-20140728-075_TESRI_0.jpg,Chartographa convexa,37,4794,3198,0
Geometridae,Ecliptopera,capitata,3017394601_UTE_112_0.jpg,Ecliptopera capitata,37,4794,3198,0
Lycaenidae,Anthene,lemnos,1039069183_YPM_3516_1.jpg,Anthene lemnos,53,1492,708,6
Pyralidae,Homoeosoma,deceptorium,1993806248_MISSA_685_0.jpg,Homoeosoma deceptorium,75,531,348,14
Nymphalidae,Nymphalis,xanthomelas,1291200320_NHMUK_3791_0.jpg,Nymphalis xanthomelas,65,4037,1666,4
Lycaenidae,Aloeides,pierus,1039192100_YPM_1556_1.jpg,Aloeides pierus,53,1492,708,6
Erebidae,Nagadeba,indecoralis,A35-20160905-156_TESRI_0.jpg,Nagadeba indecoralis,29,5090,2667,1
Erebidae,Mimulosia,funerea,1883279602_MNHN_3234_0.jpg,Mimulosia funerea,29,5090,2667,1
Crambidae,Diaphania,esmeralda,1993807369_MISSA_435_0.jpg,Diaphania esmeralda,22,1196,693,7
Erebidae,Achaea,balteata,1454673724_MNHN_427_1.jpg,Achaea balteata,29,5090,2667,1
Lycaenidae,Epitola,posthumus,1039082955_YPM_2497_1.jpg,Epitola posthumus,53,1492,708,6
Noctuidae,Lithophane,consocia,3003615244_TAM_925_0.jpg,Lithophane consocia,62,3747,2218,2
Ethmiidae,Ethmia,lineatonotella,M13-20141020-057_TESRI_0.jpg,Ethmia lineatonotella,32,69,53,24
Geometridae,Cochisea,sonomensis,2432336347_CSU_589_0.jpg,Cochisea sonomensis,37,4794,3198,0
Geometridae,Arichanna,sinica,refracta_A52-20160704-001_TESRI_0.jpg,Arichanna sinica,37,4794,3198,0
Noctuidae,Cerma,cora,1838857123_MISSA_825_0.jpg,Cerma cora,62,3747,2218,2
Tortricidae,Argyrotaenia,mariana,1585227803_MISSA_2964_0.jpg,Argyrotaenia mariana,91,901,787,17
Nymphalidae,Actinote,stratonice,1039050896_YPM_3788_1.jpg,Actinote stratonice,65,4037,1666,4
Lycaenidae,Baeotis,capreolus,1837857917_NHMUK_5815_0.jpg,Baeotis capreolus,53,1492,708,6
Erebidae,Eupyra,albicincta,1322105546_USNM_2270_0.jpg,Eupyra albicincta,29,5090,2667,1
Geometridae,Perizoma,minorata,1825933423_NHMUK_2409_0.jpg,Perizoma minorata,37,4794,3198,0
Nymphalidae,Charaxes,nandina,1321803283_USNM_4455_0.jpg,Charaxes nandina,65,4037,1666,4
Notodontidae,Malocampa,omaita,1317882225_USNM_2247_0.jpg,Malocampa omaita,64,739,528,15
Erebidae,Pseudohemihyalea,edwardsii,1039180470_YPM_2208_0.jpg,Pseudohemihyalea edwardsii,29,5090,2667,1
Noctuidae,Euxoa,distinguenda,1457364950_MNHN_340_1.jpg,Euxoa distinguenda,62,3747,2218,2
Nymphalidae,Charaxes,tiridates,1319496637_USNM_6049_0.jpg,Charaxes tiridates,65,4037,1666,4
Geometridae,Triphosa,rantaizanensis,V37-20190218-020_TESRI_0.jpg,Triphosa rantaizanensis,37,4794,3198,0
Endromidae,Comparmustilia,gerontica,V11-20131109-091_TESRI_0.jpg,Comparmustilia gerontica,25,49,26,28
Pieridae,Belenois,mabella,1318129985_USNM_9457_0.jpg,Belenois mabella,69,3076,852,9
Geometridae,Spododes,unifacta,1318491454_USNM_2802_0.jpg,Spododes unifacta,37,4794,3198,0
Notodontidae,Malocampa,monita,1317417924_USNM_5549_0.jpg,Malocampa monita,64,739,528,15
