Family,Subfamily,Genus,Species,SciName,Number,Source,Family_encode,Fam_Sample,Fam_Specie
Notodontidae,Notodontinae,Somera,viridifusca,Somera viridifusca,viridifusca,A37-20160504-065,60,741,530
Erebidae,Lithosiinae,Balbura,dorsisigna,Balbura dorsisigna,1838876456,MISSA,27,5150,2706
Nymphalidae,Limenitidinae,Limenitis,trivena,Limenitis trivena,3017457315,UTE,61,3999,1655
Crambidae,Spilomelinae,Nausinoe,perspectata,Nausinoe perspectata,V36-20181117-110,TESRI,19,1196,693
Pieridae,Pierinae,Prioneris,vollenhovii,Prioneris vollenhovii,1320729515,USNM,65,3082,856
Geometridae,Ennominae,Glena,furfuraria,Glena furfuraria,2432313436,CSU,34,4684,3138
Sphingidae,Smerinthinae,Platysphinx,constrigilis,Platysphinx constrigilis,1882416353,NHMUK,79,641,398
Hesperiidae,Hesperiinae,Atrytonopsis,pittacus,Atrytonopsis pittacus,1039161863,YPM,39,1463,597
Gelechiidae,Dichomeridinae,Helcystogramma,trijunctum,Helcystogramma trijunctum,A35-20190424-154,TESRI,33,410,359
Papilionidae,Parnassiinae,Luehdorfia,puziloi,Luehdorfia puziloi,3003741979,TAM,64,1096,364
Noctuidae,Acontiinae,Cryphioides,ocellata,Cryphioides ocellata,1426045750,MNHN,58,3700,2182
Pieridae,Coliadinae,Eurema,nigrocincta,Eurema nigrocincta,1319039467,USNM,65,3082,856
Tortricidae,Olethreutinae,Catastega,strigatella,Catastega strigatella,1321772375,USNM,84,938,802
Nymphalidae,Limenitidinae,Neptis,praslini,Neptis praslini,1039112050,YPM,61,3999,1655
Noctuidae,Cuculliinae,Omphaloscelis,polybela,Omphaloscelis polybela,1457364884,MNHN,58,3700,2182
Geometridae,Larentiinae,Xanthorhoe,designata,Xanthorhoe designata,1826045242,NHMUK,34,4684,3138
Erebidae,Arctiinae,Hyperthaema,sanguineata,Hyperthaema sanguineata,1838881388,MISSA,27,5150,2706
Saturniidae,Ceratocampinae,Eacles,imperialis,Eacles imperialis,1039095027,YPM,74,676,311
Euteliidae,Euteliinae,Penicillaria,jocosatrix,Penicillaria jocosatrix,1990804931,MNHN,31,97,53
Geometridae,Ennominae,Doratoptera,lutea,Doratoptera lutea,A32-20120321-068,TESRI,34,4684,3138
Saturniidae,Saturniinae,Antheraea,yamamai,Antheraea yamamai,superba,A38-20140728-174,74,676,311
Hesperiidae,Megathyminae,Megathymus,yuccae,Megathymus yuccae,1039091994,YPM,39,1463,597
Nymphalidae,Satyrinae,Euptychoides,albofasciata,Euptychoides albofasciata,1039152330,YPM,61,3999,1655
Pieridae,Coliadinae,Colias,euxanthe,Colias euxanthe,1039115841,YPM,65,3082,856
Geometridae,Larentiinae,Eupithecia,assimilata,Eupithecia assimilata,1825943138,NHMUK,34,4684,3138
Erebidae,Erebinae,Volazaha,iridoplitis,Volazaha iridoplitis,1587261177,MNHN,27,5150,2706
Erebidae,Erebinae,Toxonprucha,clientis,Toxonprucha clientis,1585211896,MISSA,27,5150,2706
Pieridae,Pierinae,Mylothris,phileris,Mylothris phileris,1321528472,USNM,65,3082,856
Erebidae,Erebinae,Thyas,coronata,Thyas coronata,V04-20150920-004,TESRI,27,5150,2706
Geometridae,Ennominae,Somatolophia,pallescens,Somatolophia pallescens,2432325348,CSU,34,4684,3138
Papilionidae,Papilioninae,Troides,miranda,Troides miranda,1322246818,USNM,64,1096,364
Gracillariidae,Lithocolletinae,Phyllonorycter,blancardella,Phyllonorycter blancardella,3003608810,TAM,36,65,64
Geometridae,Larentiinae,Lobophora,rosula,Lobophora rosula,1319373118,USNM,34,4684,3138
Geometridae,Ennominae,Cabera,leptographa,Cabera leptographa,3003620625,TAM,34,4684,3138
Nymphalidae,Satyrinae,Godartiana,muscosa,Godartiana muscosa,1039096823,YPM,61,3999,1655
Nymphalidae,Charaxinae,Charaxes,bipunctatus,Charaxes bipunctatus,1321492708,USNM,61,3999,1655
Gelechiidae,Gelechiinae,Sriferia,cockerella,Sriferia cockerella,1585253262,MISSA,33,410,359
Crambidae,Evergestinae,Evergestis,unimacula,Evergestis unimacula,1883748802,MISSA,19,1196,693
Erebidae,Arctiinae,Hypomolis,agnes,Hypomolis agnes,1883279889,MNHN,27,5150,2706
Erebidae,Erebinae,Paralephana,linos,Paralephana linos,1587261163,MNHN,27,5150,2706
Pieridae,Pierinae,Archonias,princetonia,Archonias princetonia,1320300473,USNM,65,3082,856
Nymphalidae,Danainae,Euploea,stephensii,Euploea stephensii,1039110407,YPM,61,3999,1655
Geometridae,Desmobathrinae,Conolophia,nigripuncta,Conolophia nigripuncta,1826441105,NHMUK,34,4684,3138
Erebidae,Arctiinae,Eucereon,carabayana,Eucereon carabayana,1319338660,USNM,27,5150,2706
Saturniidae,Saturniinae,Callosamia,promethea,Callosamia promethea,1039099331,YPM,74,676,311
Geometridae,Ennominae,Spododes,latidens,Spododes latidens,1320629639,USNM,34,4684,3138
Noctuidae,Heliothinae,Schinia,gaurae,Schinia gaurae,1890893651,MISSA,58,3700,2182
Gelechiidae,Gelechiinae,Chionodes,petro,Chionodes petro,1838846157,MISSA,33,410,359
Papilionidae,Papilioninae,Troides,minos,Troides minos,2446317214,NHMUK,64,1096,364
Erebidae,Arctiinae,Notarctia,arizoniensis,Notarctia arizoniensis,2432250408,CSU,27,5150,2706
Nymphalidae,Charaxinae,Polygrapha,xenocrates,Polygrapha xenocrates,1317316373,USNM,61,3999,1655
Hesperiidae,Hesperiinae,Poanes,aaroni,Poanes aaroni,2432269359,CSU,39,1463,597
Lycaenidae,Theclinae,Michaelus,jebus,Michaelus jebus,1039191119,YPM,48,1283,600
Noctuidae,Noctuinae,Nocthadena,griseoviridis,Nocthadena griseoviridis,1671692079,MNHN,58,3700,2182
Pieridae,Pierinae,Hesperocharis,graphites,Hesperocharis graphites,1317863005,USNM,65,3082,856
Pieridae,Pierinae,Mylothris,bernice,Mylothris bernice,1039063820,YPM,65,3082,856
Saturniidae,Hemileucinae,Automeris,iris,Automeris iris,1039051017,YPM,74,676,311
Nymphalidae,Biblidinae,Cyrestis,cocles,Cyrestis cocles,1039089597,YPM,61,3999,1655
Nymphalidae,Danainae,Ideopsis,vitrea,Ideopsis vitrea,1039095580,YPM,61,3999,1655
Geometridae,Ennominae,Heterostegane,subtessellata,Heterostegane subtessellata,V24-20160820-074,TESRI,34,4684,3138
Pieridae,Pierinae,Catasticta,aureomaculata,Catasticta aureomaculata,1318998356,USNM,65,3082,856
Pieridae,Coliadinae,Colias,occidentalis,Colias occidentalis,2432285403,CSU,65,3082,856
Geometridae,Larentiinae,Dysstroma,truncata,Dysstroma truncata,3017394607,UTE,34,4684,3138
Geometridae,Geometrinae,Argyrocosma,inductaria,Argyrocosma inductaria,A46-20160426-245,TESRI,34,4684,3138
Nymphalidae,Nymphalinae,Chlosyne,ehrenbergii,Chlosyne ehrenbergii,1039069727,YPM,61,3999,1655
Papilionidae,Papilioninae,Parides,erithalion,Parides erithalion,1318876507,USNM,64,1096,364
Noctuidae,Noctuinae,Hydraecia,osseola,Hydraecia osseola,1661823084,MNHN,58,3700,2182
Sphingidae,Macroglossinae,Ampelophaga,rubiginosa,Ampelophaga rubiginosa,myosotis,A38-20140728-180,79,641,398
Ethmiidae,Ethmiinae,Ethmia,semilugens,Ethmia semilugens,1585221423,MISSA,29,69,53
Geometridae,Ennominae,Ennomos,subsignaria,Ennomos subsignaria,2432329594,CSU,34,4684,3138
Noctuidae,Noctuinae,Spodoptera,frugiperda,Spodoptera frugiperda,2244419730,MISSA,58,3700,2182
Papilionidae,Papilioninae,Battus,devilliersii,Battus devilliersii,1039182188,YPM,64,1096,364
Geometridae,Ennominae,Tornos,cinctarius,Tornos cinctarius,1932762974,MSU,34,4684,3138
Geometridae,Ennominae,Pero,tridenta,Pero tridenta,1318514725,USNM,34,4684,3138
Noctuidae,Noctuinae,Callopistria,pauliani,Callopistria pauliani,1426631308,MNHN,58,3700,2182
Geometridae,Ennominae,Fascellina,subsignata,Fascellina subsignata,V02-20140721-066,TESRI,34,4684,3138
Noctuidae,Acontiinae,Acontia,areloides,Acontia areloides,1838862927,MISSA,58,3700,2182
Lycaenidae,Polyommatinae,Nothodanis,schaeffera,Nothodanis schaeffera,1039081135,YPM,48,1283,600
Erebidae,Lymantriinae,Calliteara,grotei,Calliteara grotei,horishanella,A32-20180921-025,27,5150,2706
Nolidae,Chloephorinae,Gigantoceras,perineti,Gigantoceras perineti,1587260967,MNHN,59,318,153
Erebidae,Hypeninae,Hypena,triangularis,Hypena triangularis,A41-20140206-017,TESRI,27,5150,2706
Erebidae,Catocalinae,Argyphia,arcifera,Argyphia arcifera,1502535268,MNHN,27,5150,2706
Pieridae,Pierinae,Hesperocharis,paranensis,Hesperocharis paranensis,1318960456,USNM,65,3082,856
Crambidae,Acentropinae,Parapoynx,allionealis,Parapoynx allionealis,1932681672,MSU,19,1196,693
Noctuidae,Noctuinae,Appana,subrosacea,Appana subrosacea,1563875409,MNHN,58,3700,2182
Ethmiidae,Ethmiinae,Ethmia,geranella,Ethmia geranella,1321584275,USNM,29,69,53
Pieridae,Pierinae,Delias,schoenbergi,Delias schoenbergi,1318682998,USNM,65,3082,856
Saturniidae,Saturniinae,Rothschildia,hopfferi,Rothschildia hopfferi,1039080785,YPM,74,676,311
Tortricidae,Tortricinae,Archips,mortuanus,Archips mortuanus,1585233729,MISSA,84,938,802
Papilionidae,Papilioninae,Graphium,sarpedon,Graphium sarpedon,connectens,A42-20161102-032,64,1096,364
Noctuidae,Cuculliinae,Lithophane,patefacta,Lithophane patefacta,2268760577,MISSA,58,3700,2182
Noctuidae,Noctuinae,Agrotis,segetum,Agrotis segetum,3017417679,UTE,58,3700,2182
Pieridae,Pierinae,Delias,arabuana,Delias arabuana,1837858633,NHMUK,65,3082,856
Tineidae,Nemapogoninae,Nemapogon,angulifasciella,Nemapogon angulifasciella,1585225157,MISSA,82,102,85
Noctuidae,Acronictinae,Acronicta,falcula,Acronicta falcula,1838871096,MISSA,58,3700,2182
Psychidae,Psychinae,Basicladus,celibata,Basicladus celibata,1585246042,MISSA,68,16,12
Erebidae,Herminiinae,Idia,rotundalis,Idia rotundalis,1946087105,MISSA,27,5150,2706
Nymphalidae,Satyrinae,Lopinga,achine,Lopinga achine,3017394515,UTE,61,3999,1655
Nymphalidae,Satyrinae,Dingana,dingana,Dingana dingana,1039180856,YPM,61,3999,1655
Gelechiidae,Dichomeridinae,Dichomeris,laetitia,Dichomeris laetitia,1585258165,MISSA,33,410,359
Nymphalidae,Charaxinae,Memphis,aulica,Memphis aulica,1322093651,USNM,61,3999,1655
Nymphalidae,Heliconiinae,Acraea,aganice,Acraea aganice,1039072268,YPM,61,3999,1655
Pyralidae,Phycitinae,Dioryctria,simplicella,Dioryctria simplicella,2006023839,NHMUK,71,530,347
Lycaenidae,Polyommatinae,Plebejus,saepiolus,Plebejus saepiolus,1039153305,YPM,48,1283,600
Pieridae,Pierinae,Pereute,antodyca,Pereute antodyca,1322579970,USNM,65,3082,856
Geometridae,Larentiinae,Gonanticlea,ochreivittata,Gonanticlea ochreivittata,V03-20130510-043,TESRI,34,4684,3138
Geometridae,Ennominae,Lomographa,margarita,Lomographa margarita,V37-20181210-032,TESRI,34,4684,3138
Pieridae,Coliadinae,Eurema,hecabe,Eurema hecabe,1039109101,YPM,65,3082,856
Nymphalidae,Heliconiinae,Acraea,lycoa,Acraea lycoa,1039082256,YPM,61,3999,1655
Erebidae,Taxocampinae,Lygephila,viciae,Lygephila viciae,3003633945,TAM,27,5150,2706
Sesiidae,Sesiinae,Synanthedon,pini,Synanthedon pini,1932663208,MSU,78,114,89
Notodontidae,Notodontinae,Notodonta,pacifica,Notodonta pacifica,2884377511,CSU,60,741,530
Uraniidae,Epipleminae,Dysaethria,cretacea,Dysaethria cretacea,A35-20150409-149,TESRI,85,70,27
Tortricidae,Olethreutinae,Eucosma,influana,Eucosma influana,1838880529,MISSA,84,938,802
Hesperiidae,Hesperiinae,Conga,zela,Conga zela,1039170855,YPM,39,1463,597
Papilionidae,Papilioninae,Papilio,bianor,Papilio bianor,1039037537,YPM,64,1096,364
Notodontidae,Notodontinae,Gluphisia,crenata,Gluphisia crenata,3017394778,UTE,60,741,530
Saturniidae,Saturniinae,Actias,ningpoana,Actias ningpoana,ningtaiwana,A35-20140728-211,74,676,311
Uraniidae,Epipleminae,Epiplema,strigulicosta,Epiplema strigulicosta,V27-20160105-016,TESRI,85,70,27
Geometridae,Larentiinae,Pasiphila,chloerata,Pasiphila chloerata,1826030202,NHMUK,34,4684,3138
Crambidae,Crambinae,Mesolia,bipunctella,Mesolia bipunctella,A37-20160504-202,TESRI,19,1196,693
Geometridae,Ennominae,Chiasmia,perfusaria,Chiasmia perfusaria,A61-20190226-098,TESRI,34,4684,3138
Gelechiidae,Anomologinae,Aristotelia,penicillata,Aristotelia penicillata,1838842825,MISSA,33,410,359
Noctuidae,Noctuinae,Callopistria,nigrescens,Callopistria nigrescens,A63-20180905-195,TESRI,58,3700,2182
Geometridae,Larentiinae,Lampropteryx,suffumata,Lampropteryx suffumata,3003609222,TAM,34,4684,3138
Lycaenidae,Polyommatinae,Cyaniris,neglecta,Cyaniris neglecta,1039082160,YPM,48,1283,600
Lycaenidae,Theclinae,Thecla,hostis,Thecla hostis,1322669126,USNM,48,1283,600
Notodontidae,Periergosinae,Chadisra,bipartita,Chadisra bipartita,V19-20150212-015,TESRI,60,741,530
Geometridae,Larentiinae,Priapodes,flaviradiata,Priapodes flaviradiata,1319015120,USNM,34,4684,3138
Pieridae,Acontiinae,Leptosia,wigginsi,Leptosia wigginsi,1039197228,YPM,65,3082,856
Hesperiidae,Hesperiinae,Atrytone,potosiensis,Atrytone potosiensis,2432264592,CSU,39,1463,597
Nolidae,Nolinae,Inouenola,pallescens,Inouenola pallescens,A46-20160223-069,TESRI,59,318,153
Pieridae,Pierinae,Delias,sagessa,Delias sagessa,1320307432,USNM,65,3082,856
Geometridae,Larentiinae,Cidaria,goteada,Cidaria goteada,1319185353,USNM,34,4684,3138
Pieridae,Pierinae,Catasticta,teutila,Catasticta teutila,1320788600,USNM,65,3082,856
Geometridae,Larentiinae,Euphyia,cineraria,Euphyia cineraria,3003642957,TAM,34,4684,3138
Nymphalidae,Nymphalinae,Hypanartia,lindigii,Hypanartia lindigii,1039119282,YPM,61,3999,1655
Geometridae,Geometrinae,Maxates,quadripunctata,Maxates quadripunctata,V24-20190316-133,TESRI,34,4684,3138
Noctuidae,Noctuinae,Haliophyle,flavistigma,Haliophyle flavistigma,2560746150,UHIM,58,3700,2182
Noctuidae,Noctuinae,Euxoa,auripennis,Euxoa auripennis,2432344075,CSU,58,3700,2182
Hesperiidae,Hesperiinae,Eutychide,subcordata,Eutychide subcordata,1039136644,YPM,39,1463,597
Papilionidae,Papilioninae,Atrophaneura,sycorax,Atrophaneura sycorax,1319071602,USNM,64,1096,364
Lycaenidae,Poritiinae,Alaena,amazoula,Alaena amazoula,1039087844,YPM,48,1283,600
Saturniidae,Saturniinae,Agapema,anona,Agapema anona,1039052071,YPM,74,676,311
Pieridae,Coliadinae,Pyrisitia,nise,Pyrisitia nise,1039075316,YPM,65,3082,856
Nymphalidae,Satyrinae,Taygetis,kerea,Taygetis kerea,2609398705,NHMUK,61,3999,1655
Erebidae,Erebinae,Ischyja,ferrifracta,Ischyja ferrifracta,B29-20131018-001,TESRI,27,5150,2706
Pieridae,Pierinae,Catasticta,ludovici,Catasticta ludovici,1321852652,USNM,65,3082,856
Erebidae,Arctiinae,Grammia,arge,Grammia arge,2432247723,CSU,27,5150,2706
Geometridae,Sterrhinae,Flavinia,dubia,Flavinia dubia,1321884529,USNM,34,4684,3138
Pieridae,Dismorphiinae,Pseudopieris,nehemia,Pseudopieris nehemia,1318914456,USNM,65,3082,856
Noctuidae,Acronictinae,Acronicta,fallax,Acronicta fallax,1846472919,MISSA,58,3700,2182
Lycaenidae,Polyommatinae,Cyclargus,thomasi,Cyclargus thomasi,1039128729,YPM,48,1283,600
Papilionidae,Papilioninae,Atrophaneura,sycorax,Atrophaneura sycorax,1319071602,USNM,64,1096,364
Geometridae,Ennominae,Heteroleuca,similipennis,Heteroleuca similipennis,1317752681,USNM,34,4684,3138
Geometridae,Larentiinae,Lampropteryx,argentilineata,Lampropteryx argentilineata,nitidaria,A65-20170904-003,34,4684,3138
Lycaenidae,Theclinae,Thecla,sito,Thecla sito,1039186844,YPM,48,1283,600
Notodontidae,Unassigned,Talmeca,gnoma,Talmeca gnoma,1317988440,USNM,60,741,530
Crambidae,Spilomelinae,Pleuroptya,plagiatalis,Pleuroptya plagiatalis,A53-20160424-031,TESRI,19,1196,693
Sesiidae,Sesiinae,Osminia,donahueorum,Osminia donahueorum,1932660257,MSU,78,114,89
Bombycidae,Unassigned,Dalailama,bifurca,Dalailama bifurca,1882416061,NHMUK,8,42,29
Notodontidae,Unassigned,Elymiotis,cretosa,Elymiotis cretosa,1322808508,USNM,60,741,530
Tortricidae,Olethreutinae,Dichrorampha,broui,Dichrorampha broui,1848889391,MISSA,84,938,802
Nolidae,Chloephorinae,Negritothripa,hampsoni,Negritothripa hampsoni,A41-20170717-295,TESRI,59,318,153
Geometridae,Ennominae,Rikiosatoa,fucataria,Rikiosatoa fucataria,A48-20160425-097,TESRI,34,4684,3138
Crambidae,Spilomelinae,Glyphodes,canthusalis,Glyphodes canthusalis,A35-20140728-127,TESRI,19,1196,693
Sphingidae,Smerinthinae,Amplypterus,mansoni,Amplypterus mansoni,takamukui,A38-20140728-179,79,641,398
Pyralidae,Chrysauginae,Basacallis,tarachodes,Basacallis tarachodes,1946089552,MISSA,71,530,347
Sphingidae,Smerinthinae,Viriclanis,kingstoni,Viriclanis kingstoni,1882416195,NHMUK,79,641,398
Geometridae,Geometrinae,Herochroma,baibarana,Herochroma baibarana,V37-20181008-024,TESRI,34,4684,3138
Lycaenidae,Theclinae,Fixsenia,favonius,Fixsenia favonius,1039160827,YPM,48,1283,600
Pieridae,Coliadinae,Gonepteryx,cleopatra,Gonepteryx cleopatra,1039082104,YPM,65,3082,856
Pyralidae,Epipaschiinae,Orthaga,olivacea,Orthaga olivacea,A35-20170628-088,TESRI,71,530,347
Limacodidae,Unassigned,Flavinarosa,obscura,Flavinarosa obscura,A35-20150409-164,TESRI,47,150,72
Nymphalidae,Satyrinae,Lethe,confusa,Lethe confusa,1039164058,YPM,61,3999,1655
Noctuidae,Glottulinae,Polytela,cliens,Polytela cliens,1883280466,MNHN,58,3700,2182
Pieridae,Pierinae,Delias,singapura,Delias singapura,1056423965,NHMUK,65,3082,856
Elachistidae,Elachistinae,Perittia,farinella,Perittia farinella,3003608830,TAM,22,25,24
Nymphalidae,Nymphalinae,Texola,elada,Texola elada,1039025844,YPM,61,3999,1655
Noctuidae,Heliothinae,Schinia,obscurata,Schinia obscurata,1899209122,MISSA,58,3700,2182
Pieridae,Pierinae,Neophasia,terlooii,Neophasia terlooii,1039047728,YPM,65,3082,856
Pieridae,Pierinae,Catasticta,revancha,Catasticta revancha,1056426325,NHMUK,65,3082,856
Erebidae,Catocalinae,Plecopterodes,variabilis,Plecopterodes variabilis,1502535255,MNHN,27,5150,2706
Hesperiidae,Hesperiinae,Atrytonopsis,deva,Atrytonopsis deva,1039193507,YPM,39,1463,597
Erebidae,Erebinae,Polydesma,umbricola,Polydesma umbricola,1563875399,MNHN,27,5150,2706
Erebidae,Arctiinae,Leucanopsis,longa,Leucanopsis longa,1838866622,MISSA,27,5150,2706
Crambidae,Spilomelinae,Pachynoa,thoosalis,Pachynoa thoosalis,A35-20170425-265,TESRI,19,1196,693
Noctuidae,Noctuinae,Leucania,phragmitidicola,Leucania phragmitidicola,1454673703,MNHN,58,3700,2182
Noctuidae,Noctuinae,Callopistria,meridionalis,Callopistria meridionalis,2244418113,MISSA,58,3700,2182
Geometridae,Sterrhinae,Scopula,nemoraria,Scopula nemoraria,3003633665,TAM,34,4684,3138
Noctuidae,Noctuinae,Lasionycta,secedens,Lasionycta secedens,2564840576,CSU,58,3700,2182
Nymphalidae,Charaxinae,Prepona,deiphile,Prepona deiphile,1039084937,YPM,61,3999,1655
Nymphalidae,Nymphalinae,Antillea,pelops,Antillea pelops,1039162597,YPM,61,3999,1655
Erebidae,Ctenuchinae,Hyda,anaxantha,Hyda anaxantha,1322130685,USNM,27,5150,2706
Geometridae,Ennominae,Amblychia,angeronaria,Amblychia angeronaria,A37-20160504-093,TESRI,34,4684,3138
Papilionidae,Parnassiinae,Parnassius,behrii,Parnassius behrii,1039176831,YPM,64,1096,364
Crambidae,Pyraustinae,Anania,hortulata,Anania hortulata,1890892867,MISSA,19,1196,693
Geometridae,Larentiinae,Eupithecia,valerianata,Eupithecia valerianata,3003653089,TAM,34,4684,3138
Erebidae,Hypeninae,Hypena,uncipennis,Hypena uncipennis,A48-20160118-003,TESRI,27,5150,2706
