,Taxon,Sex,Name,Suborder,Family,Species
33,Macroheterocera|Geometridae|Ennominae|Abraxas adilluminata,Male,Abraxas adilluminata_male_Shanmei_2-XI-2011_TFRI157913_dissected_01,Macroheterocera,Geometridae,Abraxas adilluminata
34,Macroheterocera|Geometridae|Ennominae|Abraxas adilluminata,Male,Abraxas adilluminata_male_Siyuanyako_15-IV-2013_SWu_TFRI175785_dissected_01,Macroheterocera,Geometridae,Abraxas adilluminata
35,Macroheterocera|Geometridae|Ennominae|Abraxas antinebulosa,Female,Abraxas antinebulosa_Cien_11-X-2012_SWu-05_800px,Macroheterocera,Geometridae,Abraxas antinebulosa
36,Macroheterocera|Geometridae|Ennominae|Abraxas antinebulosa,Female,Abraxas antinebulosa_female_Meifeng_14-IX-2012_SWu_TFRI154817_01_dissected,Macroheterocera,Geometridae,Abraxas antinebulosa
37,Macroheterocera|Geometridae|Ennominae|Abraxas antinebulosa,Male,Abraxas antinebulosa_Rayyen_14-IX-2012_SWu-04_800px,Macroheterocera,Geometridae,Abraxas antinebulosa
38,Macroheterocera|Geometridae|Ennominae|Abraxas antinebulosa,Male,Abraxas antinebulosa_Rayyen_14-IX-2012_SWu-05,Macroheterocera,Geometridae,Abraxas antinebulosa
39,Macroheterocera|Geometridae|Ennominae|Abraxas antinebulosa,Female,Abraxas antinebulosa_Siyuanyako_25-X-2014_SW_03_1,Macroheterocera,Geometridae,Abraxas antinebulosa
40,Macroheterocera|Geometridae|Ennominae|Abraxas consputa,Female,"Abraxas consputa Bastelberger, 1909_female_Beidongyenshan_TFRI_01_800px",Macroheterocera,Geometridae,Abraxas consputa
41,Macroheterocera|Geometridae|Ennominae|Abraxas consputa,Male,"Abraxas consputa Bastelberger, 1909_male_Xiaoxueshan_TFRI_01_800px",Macroheterocera,Geometridae,Abraxas consputa
42,Macroheterocera|Geometridae|Ennominae|Abraxas consputa,Female,Abraxas consputa_female_Meifeng_12-X-2012_SWu_TFRI147716_01_dissected,Macroheterocera,Geometridae,Abraxas consputa
43,Macroheterocera|Geometridae|Ennominae|Abraxas consputa,Female,Abraxas consputa_female_Tsuifeng_9-XI-2012_SWu&WCChang_TFRI145859_01_dissected_1800,Macroheterocera,Geometridae,Abraxas consputa
44,Macroheterocera|Geometridae|Ennominae|Abraxas cupreilluminata,Female,Abraxas cupreilluminata_female_MTTS1583_01,Macroheterocera,Geometridae,Abraxas cupreilluminata
45,Macroheterocera|Geometridae|Ennominae|Abraxas cupreilluminata,Female,Abraxas cupreilluminata_female_MTTS446_01,Macroheterocera,Geometridae,Abraxas cupreilluminata
46,Macroheterocera|Geometridae|Ennominae|Abraxas cupreilluminata,Male,Abraxas cupreilluminata_male_Guanwu_26-XI-2010_SWu_TFRI156137_dissected_01,Macroheterocera,Geometridae,Abraxas cupreilluminata
47,Macroheterocera|Geometridae|Ennominae|Abraxas adilluminata,Male,Abraxas cupreilluminata_male_Yulao_4-VII-2016_APCheng_dissected,Macroheterocera,Geometridae,Abraxas adilluminata
48,Macroheterocera|Geometridae|Ennominae|Abraxas fletcheri,Female,Abraxas fletcheri_female_Ci'en_10-XI-2012_SWu_TFRI154188_01_dissected,Macroheterocera,Geometridae,Abraxas fletcheri
49,Macroheterocera|Geometridae|Ennominae|Abraxas fletcheri,Female,Abraxas fletcheri_female_Wuling_24-X-2014_SW_08_1_800px,Macroheterocera,Geometridae,Abraxas fletcheri
50,Macroheterocera|Geometridae|Ennominae|Abraxas fletcheri,Female,Abraxas fletcheri_female_Xingbaiyang_11-XI-2019_CHWang_003_1,Macroheterocera,Geometridae,Abraxas fletcheri
51,Macroheterocera|Geometridae|Ennominae|Abraxas fletcheri,Male,Abraxas fletcheri_male_Guanyuan_13-IX-2012_SW-02_800px,Macroheterocera,Geometridae,Abraxas fletcheri
52,Macroheterocera|Geometridae|Ennominae|Abraxas formosilluminata,Female,Abraxas formosilliuminata_female_CB372_D0001_dissected,Macroheterocera,Geometridae,Abraxas formosilluminata
53,Macroheterocera|Geometridae|Ennominae|Abraxas formosilluminata,Female,Abraxas formosilluminata_female_FBG_12-VI-2015_SWu&MOwada_02_dissected,Macroheterocera,Geometridae,Abraxas formosilluminata
54,Macroheterocera|Geometridae|Ennominae|Abraxas formosilluminata,Female,Abraxas formosilluminata_female_Hewang_28-X-2011_dissectedTFRI_20170105_022,Macroheterocera,Geometridae,Abraxas formosilluminata
55,Macroheterocera|Geometridae|Ennominae|Abraxas formosilluminata,Female,Abraxas formosilluminata_female_Hewang_28-X-2011_dissectedTFRI_20170105_024,Macroheterocera,Geometridae,Abraxas formosilluminata
56,Macroheterocera|Geometridae|Ennominae|Abraxas formosilluminata,Female,Abraxas formosilluminata_female_Mingchih_23-V-2012_TFRI145586_dissected_01,Macroheterocera,Geometridae,Abraxas formosilluminata
57,Macroheterocera|Geometridae|Ennominae|Abraxas formosilluminata,Female,Abraxas formosilluminata_female_MTTS1558_01,Macroheterocera,Geometridae,Abraxas formosilluminata
58,Macroheterocera|Geometridae|Ennominae|Abraxas formosilluminata,Female,Abraxas formosilluminata_female_Nanchung_9-XI-2019_TFRI209286_1_dissected,Macroheterocera,Geometridae,Abraxas formosilluminata
59,Macroheterocera|Geometridae|Ennominae|Abraxas formosilluminata,Female,Abraxas formosilluminata_female_Shihtsu_27-XII-2011_SWu&WCChang_TFRI158169_dissected_01,Macroheterocera,Geometridae,Abraxas formosilluminata
60,Macroheterocera|Geometridae|Ennominae|Abraxas formosilluminata,Female,Abraxas formosilluminata_female_Xiongkong_1-VII-2016_APCheng_dissected,Macroheterocera,Geometridae,Abraxas formosilluminata
61,Macroheterocera|Geometridae|Ennominae|Abraxas formosilluminata,Male,Abraxas formosilluminata_male_Shanmei_2-XI-2011_TFRI157918_dissected_01,Macroheterocera,Geometridae,Abraxas formosilluminata
62,Macroheterocera|Geometridae|Ennominae|Abraxas formosilluminata,Male,Abraxas formosilluminata_male_Shicuoguo_17-XI-2015_SWu_TFRI180192_dissected_01,Macroheterocera,Geometridae,Abraxas formosilluminata
63,Macroheterocera|Geometridae|Ennominae|Abraxas formosilluminata,Male,Abraxas formosilluminata_male_Xiongkong_1-VII-2016_APCheng,Macroheterocera,Geometridae,Abraxas formosilluminata
64,Macroheterocera|Geometridae|Ennominae|Abraxas formosilluminata,Male,Abraxas formosilluminata_male_Xiongkong_1-VII-2016_APCheng_dissected,Macroheterocera,Geometridae,Abraxas formosilluminata
65,Macroheterocera|Geometridae|Ennominae|Abraxas parvimiranda,Female,Abraxas parvimiranda_female_ChinmaTunnel_ESR00027_dissected_LCShih_DSG9134-6,Macroheterocera,Geometridae,Abraxas parvimiranda
66,Macroheterocera|Geometridae|Ennominae|Abraxas persimplex,Female,Abraxas persimplex_female_MTTS429_01,Macroheterocera,Geometridae,Abraxas persimplex
67,Macroheterocera|Geometridae|Ennominae|Abraxas persimplex,Male,Abraxas persimplex_male_MTTS768_01,Macroheterocera,Geometridae,Abraxas persimplex
68,Macroheterocera|Geometridae|Ennominae|Abraxas persimplex,Male,Abraxas persimplex_male_Shihshan_22-III-2012_SWu&WCChang_TFRI156317_dissected_01,Macroheterocera,Geometridae,Abraxas persimplex
69,Macroheterocera|Geometridae|Ennominae|Abraxas placata,Male,Abraxas placata_male_Anmashan_17-VI-2013_006_800px,Macroheterocera,Geometridae,Abraxas placata
70,Macroheterocera|Geometridae|Ennominae|Abraxas placata,Male,Abraxas placata_male_Tatajia_8-IX-2011_TFRI00128561-01_800px,Macroheterocera,Geometridae,Abraxas placata
71,Macroheterocera|Geometridae|Ennominae|Abraxas placata,Male,Abraxas placata_male_Wuling_12-IX-2012_SWu_TFRI154658_01_dissected,Macroheterocera,Geometridae,Abraxas placata
72,Macroheterocera|Geometridae|Ennominae|Abraxas placata,Male,Abraxas placata_male_Wuling_2-VIII-2014_TFRI180975_dissected_01,Macroheterocera,Geometridae,Abraxas placata
73,Macroheterocera|Geometridae|Ennominae|Abraxas stictotaenia,Female,Abraxas stictotaenia_female_Guanyuan_11-X-2012_SWu_04,Macroheterocera,Geometridae,Abraxas stictotaenia
74,Macroheterocera|Geometridae|Ennominae|Abraxas stictotaenia,Male,Abraxas stictotaenia_male_TFRI_076,Macroheterocera,Geometridae,Abraxas stictotaenia
75,Macroheterocera|Geometridae|Ennominae|Abraxas stictotaenia,Male,Abraxas stictotaenia_male_Wuling_12-IX-2012_SWu-03,Macroheterocera,Geometridae,Abraxas stictotaenia
76,Macroheterocera|Geometridae|Ennominae|Abraxas submartiaria,Female,"Abraxas submartiaris Wehrili, 1932_female_Tatajia_9-IX-2012_SWu&WCChang_01",Macroheterocera,Geometridae,Abraxas submartiaria
77,Macroheterocera|Geometridae|Ennominae|Abraxas submartiaria,Female,Abraxas submartiaris_Tatajia_8-IX-2011_TFRI00128751-01,Macroheterocera,Geometridae,Abraxas submartiaria
78,Macroheterocera|Geometridae|Ennominae|Abraxas submartiaria,Male,Abraxas submartiaris_Tatajia_8-IX-2011_TFRI00128753-01,Macroheterocera,Geometridae,Abraxas submartiaria
79,Macroheterocera|Geometridae|Ennominae|Abraxas suspecta,Female,Abraxas suspecta_female_Daren_25-VI-2017_APCheng_TFRI195028_1,Macroheterocera,Geometridae,Abraxas suspecta
80,Macroheterocera|Geometridae|Ennominae|Abraxas suspecta,Female,Abraxas suspecta_female_FBG_3-XII-0201_SWu&WCChang_TFRI146513_dissected_01,Macroheterocera,Geometridae,Abraxas suspecta
81,Macroheterocera|Geometridae|Ennominae|Abraxas suspecta,Female,Abraxas suspecta_female_Jianshi_9-VI-2018_SWu_06,Macroheterocera,Geometridae,Abraxas suspecta
82,Macroheterocera|Geometridae|Ennominae|Abraxas suspecta,Female,Abraxas suspecta_female_MTTS1002_005,Macroheterocera,Geometridae,Abraxas suspecta
83,Macroheterocera|Geometridae|Ennominae|Abraxas suspecta,Female,Abraxas suspecta_female_MTTS1887_001,Macroheterocera,Geometridae,Abraxas suspecta
84,Macroheterocera|Geometridae|Ennominae|Abraxas suspecta,Female,Abraxas suspecta_female_MTTS1946_003,Macroheterocera,Geometridae,Abraxas suspecta
85,Macroheterocera|Geometridae|Ennominae|Abraxas suspecta,Female,Abraxas suspecta_female_MTTS940_007,Macroheterocera,Geometridae,Abraxas suspecta
86,Macroheterocera|Geometridae|Ennominae|Abraxas suspecta,Male,Abraxas suspecta_male_Fengnan_17-XI-2015_SWu_10_1_800px,Macroheterocera,Geometridae,Abraxas suspecta
87,Macroheterocera|Geometridae|Ennominae|Abraxas suspecta,Male,Abraxas suspecta_male_Tianwan_8-VI-2013_TFRI179954_dissected_01,Macroheterocera,Geometridae,Abraxas suspecta
88,Macroheterocera|Geometridae|Ennominae|Abraxas taiwanensis,Female,Abraxas taiwanensis_female_MTTS721_1,Macroheterocera,Geometridae,Abraxas taiwanensis
89,Macroheterocera|Geometridae|Ennominae|Abraxas taiwanensis,Female,Abraxas taiwanensis_female_MTTS727_1,Macroheterocera,Geometridae,Abraxas taiwanensis
90,Macroheterocera|Geometridae|Ennominae|Abraxas taiwanensis,Female,Abraxas taiwanensis_Meifeng_12-X-2012_SWu,Macroheterocera,Geometridae,Abraxas taiwanensis
91,Macroheterocera|Geometridae|Ennominae|Abraxas tenellula,Female,Abraxas tenellula_female_MTTS455_17,Macroheterocera,Geometridae,Abraxas tenellula
92,Macroheterocera|Geometridae|Ennominae|Abraxas tenellula,Female,Abraxas tenellula_female_Shanmei_2-XI-2011_TFRI157908_dissected_01,Macroheterocera,Geometridae,Abraxas tenellula
93,Macroheterocera|Geometridae|Ennominae|Abraxas tenellula,Female,Abraxas tenellula_female_Shihtso_27-XII-2011_SWu&WCChang_TFRI158167_dissected_15,Macroheterocera,Geometridae,Abraxas tenellula
94,Macroheterocera|Geometridae|Ennominae|Abraxas tenellula,Female,Abraxas tenellula_female_Siyuanyako_15-IV-2013_SWu_TFRI175784_dissected_01,Macroheterocera,Geometridae,Abraxas tenellula
95,Macroheterocera|Geometridae|Ennominae|Abraxas tenellula,Female,Abraxas tenellula_female_Tengchry_8-III-2014_CHWang_TFRI_dissected_01,Macroheterocera,Geometridae,Abraxas tenellula
96,Macroheterocera|Geometridae|Ennominae|Abraxas tenellula,Male,Abraxas tenellula_male_MSE2000_20-XI-2015_SWu,Macroheterocera,Geometridae,Abraxas tenellula
97,Macroheterocera|Geometridae|Ennominae|Abraxas tenellula,Male,Abraxas tenellula_male_MTTS153_01,Macroheterocera,Geometridae,Abraxas tenellula
98,Macroheterocera|Geometridae|Ennominae|Abraxas tenellula,Male,Abraxas tenellula_male_MTTS187_01,Macroheterocera,Geometridae,Abraxas tenellula
99,Macroheterocera|Geometridae|Ennominae|Abraxas tenellula,Male,Abraxas tenellula_male_MTTS735_13,Macroheterocera,Geometridae,Abraxas tenellula
100,Macroheterocera|Geometridae|Ennominae|Abraxas tenellula,Male,Abraxas tenellula_male_Shanmei_9-III-2011_TFRI141262_dissected_07,Macroheterocera,Geometridae,Abraxas tenellula
101,Macroheterocera|Geometridae|Ennominae|Abraxas tenuisuffusa,Female,Abraxas tenuisuffusa_female_MTTS1417_01,Macroheterocera,Geometridae,Abraxas tenuisuffusa
102,Macroheterocera|Geometridae|Ennominae|Abraxas tenuisuffusa,Male,Abraxas tenuisuffusa_male_FBG_10-IV-2015_SWu&WCChang_51_1_2400,Macroheterocera,Geometridae,Abraxas tenuisuffusa
103,Macroheterocera|Geometridae|Ennominae|Abraxas tenuisuffusa,Male,Abraxas tenuisuffusa_male_FBG_10-IV-2015_SWu&WCChang_52_1_2400,Macroheterocera,Geometridae,Abraxas tenuisuffusa
104,Macroheterocera|Geometridae|Ennominae|Abraxas tenuisuffusa,Male,Abraxas tenuisuffusa_male_Xicun_21-I-2013_TFRI156006_dissected_09,Macroheterocera,Geometridae,Abraxas tenuisuffusa
105,Macroheterocera|Geometridae|Ennominae|Abraxas wilemani,Male,Abraxas wilemani_male_MTTS1029_1,Macroheterocera,Geometridae,Abraxas wilemani
106,Macroheterocera|Noctuidae|Plusiinae|Abrostola abrostolina,Male,Abrostola abrostolina_male_NMNS,Macroheterocera,Noctuidae,Abrostola abrostolina
107,Macroheterocera|Noctuidae|Plusiinae|Abrostola abrostolina,Female,Abrostola abrostolina_male_Yulao_logan_27,Macroheterocera,Noctuidae,Abrostola abrostolina
108,Macroheterocera|Noctuidae|Plusiinae|Abrostola anophioides,Male,Abrostola anophioides_female_Cien_VIII-2012_01_800,Macroheterocera,Noctuidae,Abrostola anophioides
109,Macroheterocera|Noctuidae|Plusiinae|Abrostola anophioides,Female,Abrostola anophioides_female_FBG_10-IV-2015_SWu&WCChang_16_800,Macroheterocera,Noctuidae,Abrostola anophioides
110,Macroheterocera|Noctuidae|Plusiinae|Abrostola anophioides,Male,Abrostola anophioides_male_Hexing_2-II-2019_PCChen&MCLi_TFRI195053_dissected,Macroheterocera,Noctuidae,Abrostola anophioides
111,Macroheterocera|Noctuidae|Plusiinae|Abrostola suisharyonis suisharyonis,Female,Abrostola suisharyonis suisharyonis_female_SWUBR2020-065-2_1,Macroheterocera,Noctuidae,Abrostola suisharyonis suisharyonis
112,Macroheterocera|Geometridae|Larentiinae|Acasis viretata himalayica,Male,Acasis viretata hinmalayica_male_Yulao_4-I-2014_12_logan_800,Macroheterocera,Geometridae,Acasis viretata himalayica
113,Macroheterocera|Erebidae|Erebinae|Achaea janata,Male,"Achaea janata (Linnaeus, 1758)_male_Kinman_rearedindi_2015_1_1_800",Macroheterocera,Erebidae,Achaea janata
114,Macroheterocera|Erebidae|Erebinae|Achaea janata,Male,Achaea janata_male_55mm_800,Macroheterocera,Erebidae,Achaea janata
115,Macroheterocera|Erebidae|Erebinae|Achaea serva,Male,Achaea serva_male_fromHLee_TFRI_20170428_03_1,Macroheterocera,Erebidae,Achaea serva
116,Macroheterocera|Erebidae|Erebinae|Achaea serva,Male,Achaea serva_male_Hongsuling_20-V-2018(final)_SWUBR2018-383_YiLing_800,Macroheterocera,Erebidae,Achaea serva
117,Macroheterocera|Sphingidae|Acherontia lachesis,Male,Acherontia lachesis_male_Guanwu_17-VI-2015_SWu&MOwada_007_1,Macroheterocera,Sphingidae,Acherontia lachesis
118,Macroheterocera|Sphingidae|Acherontia styx,Female,Acherontia styx medusa_NMNS_SWU0341,Macroheterocera,Sphingidae,Acherontia styx
119,Macroheterocera|Geometridae|Ennominae|Achrosis pulchra,Male,Achrosis pulchra_male_NSMT2015_334_800,Macroheterocera,Geometridae,Achrosis pulchra
120,Macroheterocera|Noctuidae|Acontiinae|Acontia olivacea,Male,Acontia olivacea_male_Pintung_VIII-2011_LMJuang-02,Macroheterocera,Noctuidae,Acontia olivacea
121,Macroheterocera|Sphingidae|Acosmeryx naga metanaga,Female,Acosmeryx naga naga_female_Hexing_20-II-2019_PCChen&MCLi_01 2,Macroheterocera,Sphingidae,Acosmeryx naga metanaga
122,Macroheterocera|Geometridae|Ennominae|Cusiala boarmioides,Female,Acosmetia chinensis_female_Juinjianyen_22-V-2016_SWu_01,Macroheterocera,Geometridae,Cusiala boarmioides
123,Macroheterocera|Geometridae|Ennominae|Acrodontis aenigma,Female,Acrodontis aenigma_ESG2242-8 combine (1),Macroheterocera,Geometridae,Acrodontis aenigma
124,Macroheterocera|Geometridae|Ennominae|Acrodontis aenigma,Male,Acrodontis aenigma_male_MSE1750_19-XI-2015_SWu_01,Macroheterocera,Geometridae,Acrodontis aenigma
125,Macroheterocera|Geometridae|Ennominae|Acrodontis aenigma,Male,Acrodontis aenigma__male_MSE1750_18-XI-2015_SWu_01_800px,Macroheterocera,Geometridae,Acrodontis aenigma
126,Macroheterocera|Geometridae|Ennominae|Acrodontis fumosa,Male,Acrodontis fumosa_male_800,Macroheterocera,Geometridae,Acrodontis fumosa
127,Macroheterocera|Geometridae|Ennominae|Acrodontis fumosa,Male,Acrodontis fumosa__male_MSE1750_20-XI-2015_SWu_01,Macroheterocera,Geometridae,Acrodontis fumosa
128,Macroheterocera|Geometridae|Ennominae|Acrodontis mystica,Female,Acrodontis mystica_female_800,Macroheterocera,Geometridae,Acrodontis mystica
129,Macroheterocera|Noctuidae|Acronictinae|Acronicta denticulata pernivea,Female,"Acronicta denticulata pernivea Chang, 1991_male_Meifeng_22-XI-2011_SWu-14",Macroheterocera,Noctuidae,Acronicta denticulata pernivea
130,Macroheterocera|Noctuidae|Acronictinae|Acronicta denticulata pernivea,Male,Acronicta denticulata pernivea_male_Hexing_15-XI-2018_PCChen&MCLi_03_ed 拷貝,Macroheterocera,Noctuidae,Acronicta denticulata pernivea
131,Macroheterocera|Noctuidae|Acronictinae|Acronicta denticulata pernivea,Male,Acronicta denticulata pernivea_male_Meifeng_800px,Macroheterocera,Noctuidae,Acronicta denticulata pernivea
132,Macroheterocera|Noctuidae|Acronictinae|Acronicta digna,Female,"Acronicta digna (Butler, 1881)_NSMT2015_270_1_800",Macroheterocera,Noctuidae,Acronicta digna
133,Macroheterocera|Noctuidae|Acronictinae|Acronicta digna,Male,Acronicta digna_male_Shyueshan Opening Trail_11-IX-2012_800px,Macroheterocera,Noctuidae,Acronicta digna
134,Macroheterocera|Noctuidae|Acronictinae|Acronicta gigasa,Male,Acronicta gigasa_male_Bashienshan(892m)_25-VI-2011_800px,Macroheterocera,Noctuidae,Acronicta gigasa
135,Macroheterocera|Noctuidae|Acronictinae|Acronicta hercules,Male,Acronicta hercules_male_Jianshi_9-VI-2018_SWu_04,Macroheterocera,Noctuidae,Acronicta hercules
136,Macroheterocera|Noctuidae|Acronictinae|Acronicta intermedia,Female,"Acronicta intermedia_female_Guanwu_29-IV-2011_SWu,WCChang_800px",Macroheterocera,Noctuidae,Acronicta intermedia
137,Macroheterocera|Noctuidae|Acronictinae|Acronicta intermedia,Male,Acronicta intermedia_Guanwu_28-VIII-2010_SWu_800px,Macroheterocera,Noctuidae,Acronicta intermedia
138,Macroheterocera|Noctuidae|Acronictinae|Acronicta pruinosa,Male,Acronicta pruinosa_melanicform_800,Macroheterocera,Noctuidae,Acronicta pruinosa
139,Macroheterocera|Noctuidae|Acronictinae|Acronicta pruinosa,Male,Acronicta_800px,Macroheterocera,Noctuidae,Acronicta pruinosa
140,Macroheterocera|Noctuidae|Noctuinae|Actebia praecurrens,Male,"Actebia praecurrens (Staudinger, 1888)_male_NMNS_800px",Macroheterocera,Noctuidae,Actebia praecurrens
141,Macroheterocera|Saturniidae|Actias sinensis subaurea,Female,Actias heterogyna subaurea_female_02_800,Macroheterocera,Saturniidae,Actias sinensis subaurea
142,Macroheterocera|Saturniidae|Actias heterogyna subaurea,Female,Actias heterogyna subaurea_female_SWUBR2018-121,Macroheterocera,Saturniidae,Actias heterogyna subaurea
143,Macroheterocera|Saturniidae|Actias neidhoeferi,Male,"Actias heterogyna subaurea_male_Lauya, Chiayi_29-XI-2012_800-2",Macroheterocera,Saturniidae,Actias neidhoeferi
144,Macroheterocera|Saturniidae|Actias neidhoeferi,Male,Actias neidhoederi _male_MSE2000_19-XI-2015_SWu_05,Macroheterocera,Saturniidae,Actias neidhoeferi
145,Macroheterocera|Saturniidae|Actias neidhoeferi,Female,Actias neidhoederi_female,Macroheterocera,Saturniidae,Actias neidhoeferi
146,Macroheterocera|Saturniidae|Actias ningpoana ningtaiwana,Female,Actias ningpoana ningtaiwana_female_01_800,Macroheterocera,Saturniidae,Actias ningpoana ningtaiwana
147,Macroheterocera|Saturniidae|Actias ningpoana ningtaiwana,Male,Actias ningpoana ningtaiwana_male_Guanwu_01_800,Macroheterocera,Saturniidae,Actias ningpoana ningtaiwana
148,Macroheterocera|Saturniidae|Actias sinensis subaurea,Female,Actias sinensis subaurea_female_Baoshanxi_breeding,Macroheterocera,Saturniidae,Actias sinensis subaurea
