Event,Sample_No.,Altitude,Group,Superfamily,Family,Genus,Species,Sex,Subfamily,Tribe,Code,Species_previous,W_length,B_length,TT_Weight,RS_Weight_with_pin,RS_Weight_pin,RS_Weight,秤重,note,已量針,RS_Weight(old),RS_Weight_old,Hot,Cold,Temp_min,Temp_max,Temp_avg ,Hot,Cold,Temp_min,Temp_max,Temp_avg,,Coll_data,Coll_date,coll_temp,species_meanCT,Note
MCTT,11,2993,macromoth,Noctuoidea,Noctuidae,Apamea,Apamea taiwana,,,,346022,Apamea taiwana,19.69,16.74,0.0489,,,,,,,,,1,0,39.8,41.7,40.7,1,0,39.8,41.7,40.7,,,18-VIII-2015,12.11926823,41.45714286,
MCTT,12,2993,macromoth,Noctuoidea,Noctuidae,Xestia,Xestia tamsi,,,,346826,Xestia tamsi,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,18-VIII-2015,12.11926823,,Specimen lost
MCTT,13,2993,macromoth,Noctuoidea,Erebidae,Agylla,Agylla pulchristriata,,,,343774,Agylla pulchristriata,24.38,16.05,0.0596,,,,,,,,,1,0,33.8,38.3,36.9,1,0,33.8,38.3,36.9,,,18-VIII-2015,12.11926823,39.55,should be rechecked
MCTT,14,2993,macromoth,Noctuoidea,Noctuidae,Xestia,Xestia tamsi,,,,346826,Xestia tamsi,16.71,15.07,0.0676,,,,,,,,,1,0,39.1,41.7,40.4,1,0,39.1,41.7,40.4,,,18-VIII-2015,12.11926823,38.2875,
MCTT,15,2993,macromoth,Noctuoidea,Noctuidae,Hermonassa,Hermonassa inconstans,,,,346334,Hermonassa inconstans,15.01,12.63,0.0191,,,,,,,,,1,0,36,37.2,36.7,1,0,36,37.2,36.7,,,18-VIII-2015,12.11926823,38.8,
MCTT,16,2993,macromoth,Noctuoidea,Noctuidae,Phlogophora,Phlogophora clava,,,,346650,Phlogophora clava,23.07,17.5,0.0717,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
MCTT,17,2993,macromoth,Noctuoidea,Noctuidae,Diarsia,Diarsia yoshimotoi,,,,346205,Diarsia yoshimotoi,18.48,15.62,0.063,,,,,,,,,1,0,39.1,40.6,39.8,1,0,39.1,40.6,39.8,,,18-VIII-2015,12.11926823,40.58,
MCTT,18,2993,macromoth,Geometroidea,Geometridae,Rikiosatoa,Rikiosatoa mavi,,,,345235,Rikiosatoa mavi,21.41,14.55,0.0393,,,,,,,,,0,1,-1.2,-0.6,-0.9,0,1,-1.2,-0.6,-0.9,,,18-VIII-2015,12.11926823,-1.25,
MCTT,19,2993,macromoth,Noctuoidea,Noctuidae,Euplexidia,Euplexidia pallidivirens,,,,346287,Euplexidia pallidivirens,15.4,14.42,0.0445,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,should be rechecked
MCTT,20,2993,macromoth,Noctuoidea,Erebidae,Hypocala,Hypocala subsatura,,,,346400,Hypocala subsatura,19.35,19.3,0.0563,,,,,,,,,0,1,-2.2,-1.1,-1.7,0,1,-2.2,-1.1,-1.7,,,18-VIII-2015,12.11926823,4.515714286,
MCTT,21,2993,macromoth,Geometroidea,Geometridae,Odontopera,Odontopera bilinearia subarida,,,,345102,Odontopera bilinearia subarida,22.98,15.63,0.0433,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
MCTT,22,2993,macromoth,Noctuoidea,Noctuidae,Euplexidia,Euplexidia pallidivirens,,,,346287,Euplexidia pallidivirens,18.1,16.06,0.0589,,,,,,,,,1,0,36.3,40.7,38.7,1,0,36.3,40.7,38.7,,,18-VIII-2015,12.11926823,39.65882353,
MCTT,23,2993,macromoth,Noctuoidea,Noctuidae,Diarsia,Diarsia cia,,,,346196,Diarsia cia,17.02,12.3,0.0398,,,,,,,,,0,1,-1.4,-0.7,-1.1,0,1,-1.4,-0.7,-1.1,,,18-VIII-2015,12.11926823,-0.333333333,
MCTT,24,2993,macromoth,Noctuoidea,Noctuidae,Diarsia,Diarsia yoshimotoi,,,,346205,Diarsia yoshimotoi,18.93,16,0.0611,,,,,,,,,1,0,37.9,41.5,39.5,1,0,37.9,41.5,39.5,,,18-VIII-2015,12.11926823,40.58,
MCTT,25,2993,macromoth,Noctuoidea,Erebidae,Hypocala,Hypocala subsatura,,,,346400,Hypocala subsatura,22.21,20.53,0.0827,,,,,,,,,1,0,39,41.9,40.5,1,0,39,41.9,40.5,,,18-VIII-2015,12.11926823,43.4537037,
MCTT,26,2993,macromoth,Noctuoidea,Noctuidae,Euplexidia,Euplexidia pallidivirens,,,,346287,Euplexidia pallidivirens,18.17,16.24,0.0425,,,,,,,,,1,0,36,38.5,37.5,1,0,36,38.5,37.5,,,18-VIII-2015,12.11926823,39.65882353,
MCTT,27,2993,macromoth,Noctuoidea,Noctuidae,Discibocome,Discibocome pulchra,,,,346215,Diphtherocome pulchra,19.26,12.82,0.0524,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
MCTT,28,2993,macromoth,Noctuoidea,Noctuidae,Euplexidia,Euplexidia pallidivirens,,,,346287,Euplexidia pallidivirens,18.65,17.09,0.073,,,,,,,,,1,0,40.3,41.1,40.6,1,0,40.3,41.1,40.6,,,18-VIII-2015,12.11926823,39.65882353,
MCTT,29,2993,macromoth,Noctuoidea,Noctuidae,Apospasta,Apospasta rantaizanensis,,,,346023,Apospasta rantaizanensis,20.77,19.34,0.0913,,,,,,,,,1,0,44,45.4,44.7,1,0,44,45.4,44.7,,,18-VIII-2015,12.11926823,41.18,
MCTT,30,2993,macromoth,Noctuoidea,Noctuidae,Euplexidia,Euplexidia pallidivirens,,,,346287,Euplexidia pallidivirens,16.68,16.22,0.0564,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,should be rechecked
MCTT,31,2993,macromoth,Noctuoidea,Noctuidae,Xestia,Xestia tamsi,,,,346826,Xestia tamsi,17.11,14.51,0.0689,,,,,,,,,1,0,40.5,43.8,42.1,1,0,40.5,43.8,42.1,,,18-VIII-2015,12.11926823,38.2875,
MCTT,32,2993,macromoth,Noctuoidea,Noctuidae,Agrotis,Agrotis taiwana,,,,345967,Agrotis taiwana,20.75,16.02,0.0845,,,,,,,,,0,1,0.2,1.3,0.9,0,1,0.2,1.3,0.9,,,18-VIII-2015,12.11926823,0.9,pinned
MCTT,33,2993,macromoth,Noctuoidea,Noctuidae,Olivenebula,Olivenebula oberthueri,,,,346569,Olivenebula oberthueri,19.02,15.43,0.0433,,,,,,,,,1,0,39,43,40.8,1,0,39,43,40.8,,,18-VIII-2015,12.11926823,40.06,
MCTT,34,2993,macromoth,Noctuoidea,Noctuidae,Diarsia,Diarsia arenosoides,,,,346193,Diarsia arenosoides,16.25,14.19,0.0365,,,,,,,,,1,0,43,46.2,44.4,1,0,43,46.2,44.4,,,18-VIII-2015,12.11926823,39.52857143,
MCTT,35,2993,macromoth,Noctuoidea,Noctuidae,Xestia,Xestia tamsi,,,,346826,Xestia tamsi,17.69,14.98,0.0497,,,,,,,,,1,0,36.7,39.5,37.8,1,0,36.7,39.5,37.8,,,18-VIII-2015,12.11926823,38.2875,
MCTT,36,2993,macromoth,Noctuoidea,Erebidae,Daddala,Daddala lucilla,,,,346189,Daddala lucilla,22.94,18.65,0.0796,,,,,,,,,1,0,42.1,44,43.3,1,0,42.1,44,43.3,,,18-VIII-2015,12.11926823,41.16,
MCTT,37,2993,macromoth,Noctuoidea,Noctuidae,Xestia,Xestia tamsi,,,,346826,Xestia tamsi,17.57,13.79,0.0569,,,,,,,,,0,1,-1.9,-0.6,-1.2,0,1,-1.9,-0.6,-1.2,,,18-VIII-2015,12.11926823,1.85,
MCTT,38,2993,macromoth,Noctuoidea,Noctuidae,Diarsia,Diarsia arenosoides,,,,346193,Diarsia arenosoides,5.91,14.21,0.0397,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
MCTT,39,2993,macromoth,Noctuoidea,Noctuidae,Euplexidia,Euplexidia pallidivirens,,,,346287,Euplexidia pallidivirens,13.87,14.48,0.0379,,,,,,,,,1,0,36.9,41,38.8,1,0,36.9,41,38.8,,,18-VIII-2015,12.11926823,39.65882353,
MCTT,40,2993,macromoth,Noctuoidea,Noctuidae,Diarsia,Diarsia cia,,,,346196,Diarsia cia,15.09,12.41,0.0276,,,,,,,,,0,1,-2.9,-2.2,-2.4,0,1,-2.9,-2.2,-2.4,,,18-VIII-2015,12.11926823,-0.333333333,
MCTT,41,2993,macromoth,Noctuoidea,Noctuidae,Euplexidia,Euplexidia pallidivirens,,,,346287,Euplexidia pallidivirens,18.34,14.84,0.056,,,,,,,,,0,1,1.3,3.2,2.5,0,1,1.3,3.2,2.5,,,18-VIII-2015,12.11926823,-0.055,
MCTT,42,2993,macromoth,Noctuoidea,Noctuidae,Discibocome,Discibocome pulchra,,,,346215,Diphtherocome pulchra,17.05,14.36,0.0289,,,,,,,,,1,0,39.2,41.3,40.5,1,0,39.2,41.3,40.5,,,18-VIII-2015,12.11926823,41.25,
MCTT,43,2993,macromoth,Noctuoidea,Erebidae,Agylla,Agylla pulchristriata,,,,343774,Agylla pulchristriata,24.96,16.14,0.0644,,,,,,,,,0,1,-1.6,-0.3,-0.9,0,1,-1.6,-0.3,-0.9,,,18-VIII-2015,12.11926823,0.875,should be rechecked
MCTT,44,2993,macromoth,Noctuoidea,Noctuidae,Xestia,Xestia tamsi,,,,346826,Xestia tamsi,17.75,18.04,0.054,,,,,,,,,0,1,-1.6,-0.5,-1,0,1,-1.6,-0.5,-1,,,18-VIII-2015,12.11926823,1.85,
MCTT,45,2993,macromoth,Noctuoidea,Noctuidae,Apamea,Apamea taiwana,,,,346022,Apamea taiwana,18.15,14.96,0.0464,,,,,,,,,1,0,40.7,41.5,41,1,0,40.7,41.5,41,,,18-VIII-2015,12.11926823,41.45714286,
MCTT,46,2993,macromoth,Noctuoidea,Noctuidae,Xestia,Xestia tamsi,,,,346826,Xestia tamsi,18.71,15.17,0.0697,,,,,,,,,1,0,38.9,43.1,41.6,1,0,38.9,43.1,41.6,,,18-VIII-2015,12.11926823,38.2875,
MCTT,47,2993,macromoth,Noctuoidea,Noctuidae,Xestia,Xestia tamsi,,,,346826,Xestia tamsi,18.06,16.55,0.0643,,,,,,,,,1,0,37.2,40,38.7,1,0,37.2,40,38.7,,,18-VIII-2015,12.11926823,38.2875,
MCTT,48,2993,macromoth,Noctuoidea,Notodontidae,Clostera,Clostera anachoreta,,,,346953,Clostera anachoreta,16.54,11.3,0.0309,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
MCTT,49,2993,macromoth,Noctuoidea,Noctuidae,Euplexidia,Euplexidia pallidivirens,,,,346287,Euplexidia pallidivirens,17.11,16.16,0.0493,,,,,,,,,0,1,-0.5,0.6,0.1,0,1,-0.5,0.6,0.1,,,18-VIII-2015,12.11926823,-0.055,
MCTT,50,2993,macromoth,Noctuoidea,Noctuidae,Apospasta,Apospasta rantaizanensis,,,,346023,Apospasta rantaizanensis,17.34,16.1,0.0422,,,,,,,,,0,1,-1.4,1.8,0.7,0,1,-1.4,1.8,0.7,,,18-VIII-2015,12.11926823,1.633333333,
MCTT,51,2993,macromoth,Noctuoidea,Noctuidae,Euplexidia,Euplexidia pallidivirens,,,,346287,Euplexidia pallidivirens,16.75,16.46,0.039,,,,,,,,,0,1,-1,0.6,-0.3,0,1,-1,0.6,-0.3,,,18-VIII-2015,12.11926823,-0.055,
MCTT,52,2993,macromoth,Noctuoidea,Noctuidae,Euplexidia,Euplexidia pallidivirens,,,,346287,Euplexidia pallidivirens,17.06,12.17,0.0602,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,should be rechecked
MCTT,53,2993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,Specimen lost (Noctuidae)
MCTT,54,2993,macromoth,Noctuoidea,Noctuidae,Apospasta,Apospasta rantaizanensis,,,,346023,Apospasta rantaizanensis,17.23,16.92,0.1107,,,,,,,,,0,1,0.8,3.4,2.6,0,1,0.8,3.4,2.6,,,18-VIII-2015,12.11926823,1.633333333,
MCTT,55,2993,macromoth,Lasiocampoidea,Lasiocampidae,Euthrix,Euthrix tamahonis,,,,345536,Euthrix tamahonis,21.14,17.14,0.0768,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
MCTT,56,2993,macromoth,Noctuoidea,Noctuidae,Apamea,Apamea taiwana,,,,346022,Apamea taiwana,17.26,14.4,0.0304,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
MCTT,57,2993,macromoth,Noctuoidea,Noctuidae,Nacna,Nacna buschmannferenci,,,,346539,Nacna malachitis,16.73,13.7,0.0604,,,,,,,,,1,0,39.3,41,40.4,1,0,39.3,41,40.4,,,18-VIII-2015,12.11926823,40.4,
MCTT,58,2993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,Specimen lost (Agylla pulchristriata)
MCTT,59,2993,macromoth,Noctuoidea,Noctuidae,Aplexiphleps,Aplexiphleps smaragdistis,,,,428285,Aplexiphleps smaragdistis,19.69,14.51,0.0502,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
MCTT,60,2993,macromoth,Noctuoidea,Noctuidae,Leucapamea,Leucapamea formosensis,,,,346427,Leucapamea formosensis,20.35,15.37,0.076,,,,,,,,,0,1,-1.9,-0.8,-1.2,0,1,-1.9,-0.8,-1.2,,,18-VIII-2015,12.11926823,-0.2,
MCTT,61,2993,macromoth,Noctuoidea,Noctuidae,Xestia,Xestia tamsi,,,,346826,Xestia tamsi,16.65,14.74,0.0367,,,,,,,,,0,1,-1.9,-0.9,-1.2,0,1,-1.9,-0.9,-1.2,,,18-VIII-2015,12.11926823,1.85,
MCTT,62,2993,macromoth,Lasiocampoidea,Lasiocampidae,Euthrix,Euthrix tamahonis,,,,345536,Euthrix tamahonis,18.82,15.97,0.0944,,,,,,,,,1,0,41.7,45.9,43.6,1,0,41.7,45.9,43.6,,,18-VIII-2015,12.11926823,41.55,
MCTT,63,2993,macromoth,Noctuoidea,Noctuidae,Diarsia,Diarsia yoshimotoi,,,,346205,Diarsia yoshimotoi,21.12,18.25,0.0622,,,,,,,,,1,0,40,41.5,40.8,1,0,40,41.5,40.8,,,18-VIII-2015,12.11926823,40.58,
MCTT,64,2993,macromoth,Noctuoidea,Noctuidae,Amphipyra,Amphipyra fuscusa,,,,345982,Amphipyra fuscusa,30.02,23.65,0.2545,,,,,,,,,0,1,-2.1,0.9,-0.7,0,1,-2.1,0.9,-0.7,,,18-VIII-2015,12.11926823,-0.233333333,[破損]
MCTT,65,2993,macromoth,Noctuoidea,Noctuidae,Amphipyra,Amphipyra fuscusa,,,,345982,Amphipyra fuscusa,28.82,23.35,0.2275,,,,,,,,,0,1,-1.8,-0.2,-0.8,0,1,-1.8,-0.2,-0.8,,,18-VIII-2015,12.11926823,-0.233333333,前翅破損
MCTT,66,2993,macromoth,Noctuoidea,Erebidae,Hypocala,Hypocala subsatura,,,,346400,Hypocala subsatura,18.98,16.52,0.0607,,,,,,,,,1,0,36.7,40.7,38.2,1,0,36.7,40.7,38.2,,,18-VIII-2015,12.11926823,43.4537037,
MCTT,67,2993,macromoth,Noctuoidea,Noctuidae,Olivenebula,Olivenebula oberthueri,,,,346569,Olivenebula oberthueri,18.65,15.53,0.0322,,,,,,,,,1,0,40.8,44.4,41.8,1,0,40.8,44.4,41.8,,,18-VIII-2015,12.11926823,40.06,
MCTT,68,2993,macromoth,Noctuoidea,Noctuidae,Leucapamea,Leucapamea formosensis,,,,346427,Leucapamea formosensis,20.35,16.01,0.0522,,,,,,,,,0,1,-0.3,0.9,0.4,0,1,-0.3,0.9,0.4,,,18-VIII-2015,12.11926823,-0.2,
MCTT,69,2993,macromoth,Noctuoidea,Erebidae,Hypocala,Hypocala subsatura,,,,346400,Hypocala subsatura,18.9,17.1,0.063,,,,,,,,,1,0,36.2,37.9,37.3,1,0,36.2,37.9,37.3,,,18-VIII-2015,12.11926823,43.4537037,
MCTT,70,2993,macromoth,Geometroidea,Geometridae,Auaxa,Auaxa cesadaria,,,,344685,Auaxa cesadaria,17.6,9.42,0.0123,,,,,,,,,0,1,-4.1,-3.8,-4,0,1,-4.1,-3.8,-4,,,18-VIII-2015,12.11926823,-4,
MCTT,71,2993,macromoth,Noctuoidea,Noctuidae,Diarsia,Diarsia arenosoides,,,,346193,Diarsia arenosoides,16.55,13.15,0.0267,,,,,,,,,1,0,34,38.4,36.5,1,0,34,38.4,36.5,,,18-VIII-2015,12.11926823,39.52857143,
MCTT,72,2993,macromoth,Noctuoidea,Noctuidae,Diarsia,Diarsia arenosoides,,,,346193,Diarsia arenosoides,17.55,13.44,0.0409,,,,,,,,,1,0,37.7,40.2,38.6,1,0,37.7,40.2,38.6,,,18-VIII-2015,12.11926823,39.52857143,
MCTT,73,2993,macromoth,Noctuoidea,Noctuidae,Chandata,Chandata taiwana,,,,346131,Chandata taiwana,13.39,11,0.0187,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
MCTT,74,2993,macromoth,Noctuoidea,Erebidae,Taicallimorpha,Taicallimorpha albipuncta,,,,343812,Taicallimorpha albipuncta,40.19,25.79,0.2595,,,,,,,,,0,1,1.1,3.8,2.9,0,1,1.1,3.8,2.9,,,18-VIII-2015,12.11926823,3.18,
MCTT,75,2993,macromoth,Noctuoidea,Noctuidae,Euplexidia,Euplexidia pallidivirens,,,,346287,Euplexidia pallidivirens,16.56,16.14,0.0394,,,,,,,,,0,1,-2.6,-1.7,-1.9,0,1,-2.6,-1.7,-1.9,,,18-VIII-2015,12.11926823,-0.055,
MCTT,76,2993,macromoth,Noctuoidea,Erebidae,Agylla,Agylla pulchristriata,,,,343774,Agylla pulchristriata,24.6,13.59,0.0637,,,,,,,,,1,0,37.8,39.3,38.6,1,0,37.8,39.3,38.6,,,18-VIII-2015,12.11926823,39.55,pinned
MCTT,77,2993,macromoth,Noctuoidea,Erebidae,Agylla,Agylla pulchristriata,,,,343774,Agylla pulchristriata,25.51,13.98,0.0452,,,,,,,,,1,0,37.2,38.7,38.1,1,0,37.2,38.7,38.1,,,18-VIII-2015,12.11926823,39.55,pinned [破損]
MCTT,78,2993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,Specimen lost
MCTT,79,2993,micromoth,Zygaenoidea,Limacodidae,Caiella,Caiella pygmy,,,,429743,Caiella pygmy,12.53,10.15,0.0221,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
MCTT,80,2993,macromoth,Noctuoidea,Noctuidae,Diarsia,Diarsia nigrafasciata,,,,346200,Diarsia nigrafasciata,16.95,14.94,0.0481,,,,,,,,,0,1,-2,0,-1.1,0,1,-2,0,-1.1,,,18-VIII-2015,12.11926823,-1.1,
MCTT,81,2993,macromoth,Noctuoidea,Erebidae,Agylla,Agylla pulchristriata,,,,343774,Agylla pulchristriata,24.43,15.23,0.0354,,,,,,,,,0,1,1.2,3.5,2.5,0,1,1.2,3.5,2.5,,,18-VIII-2015,12.11926823,0.875,[破損]
MCTT,82,2993,macromoth,Noctuoidea,Noctuidae,Apospasta,Apospasta rantaizanensis,,,,346023,Apospasta rantaizanensis,16.98,16.61,0.0521,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
MCTT,83,2993,macromoth,Noctuoidea,Noctuidae,Atrachea,Atrachea ochrotica,,,,346045,Atrachea ochrotica,17.57,12.24,0.0574,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
MCTT,84,2993,macromoth,Geometroidea,Geometridae,Epobeidia,Epobeidia lucifera extranigricans,,,,344823,Epobeidia lucifera extranigricans,31.49,20.12,0.055,,,,,,,,,0,1,5.7,7.9,7.3,0,1,5.7,7.9,7.3,,,18-VIII-2015,12.11926823,2.113043478,
MCTT,85,2993,macromoth,Noctuoidea,Erebidae,Hypocala,Hypocala subsatura,,,,346400,Hypocala subsatura,19.72,17.24,0.0734,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
MCTT,86,2993,macromoth,Noctuoidea,Erebidae,Hypocala,Hypocala subsatura,,,,346400,Hypocala subsatura,19.53,18.13,0.0555,,,,,,,,,0,1,3.8,5.1,4.6,0,1,3.8,5.1,4.6,,,18-VIII-2015,12.11926823,4.515714286,
MCTT,87,2993,macromoth,Noctuoidea,Noctuidae,Diarsia,Diarsia yoshimotoi,,,,346205,Diarsia yoshimotoi,17.72,15.21,0.0424,,,,,,,,,1,0,42.5,44.5,43.5,1,0,42.5,44.5,43.5,,,18-VIII-2015,12.11926823,40.58,
MCTT,88,2993,macromoth,Noctuoidea,Noctuidae,Chandata,Chandata taiwana,,,,346131,Chandata taiwana,15.39,11.2,0.0365,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
MCTT,89,2993,macromoth,Noctuoidea,Erebidae,Catocala,Catocala shirozui,,,,346116,Catocala shirozui,36.96,27.13,0.2759,,,,,,,,,0,1,2,5.4,3.3,0,1,2,5.4,3.3,,,18-VIII-2015,12.11926823,1.675,
MCTT,90,2993,macromoth,Noctuoidea,Erebidae,Scoliopteryx,Scoliopteryx libatrix,,,,346714,Scoliopteryx libatrix,22.9,14.78,0.0657,,,,,,,,,0,1,3.1,6,5.1,0,1,3.1,6,5.1,,,18-VIII-2015,12.11926823,3.7,
MCTT,91,2993,macromoth,Noctuoidea,Noctuidae,Amphipyra,Amphipyra fuscusa,,,,345982,Amphipyra fuscusa,,19.86,0.147,,,,,,,,,1,0,36.2,39.3,37.6,1,0,36.2,39.3,37.6,,,18-VIII-2015,12.11926823,39.18,兩前翅尖破損
MCTT,92,2993,macromoth,Noctuoidea,Erebidae,Agylla,Agylla pulchristriata,,,,343774,Agylla pulchristriata,23.25,13.6,0.0359,,,,,,,,,0,1,0.3,2.8,1.7,0,1,0.3,2.8,1.7,,,18-VIII-2015,12.11926823,0.875,[破損]
MCTT,93,2993,macromoth,Noctuoidea,Erebidae,Hypocala,Hypocala subsatura,,,,346400,Hypocala subsatura,18.84,18.35,0.0601,,,,,,,,,0,1,2.7,5.4,4.4,0,1,2.7,5.4,4.4,,,18-VIII-2015,12.11926823,4.515714286,
MCTT,94,2993,macromoth,Noctuoidea,Erebidae,Hesudra,Hesudra divisa,,,,343773,Hesudra divisa,19.97,12.13,0.0292,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
MCTT,95,2993,macromoth,Noctuoidea,Erebidae,Catocala,Catocala shirozui,,,,346116,Catocala shirozui,39.26,27.88,0.2258,,,,,,,,,1,0,35.3,38.8,37,1,0,35.3,38.8,37,,,18-VIII-2015,12.11926823,37,
MCTT,96,2993,macromoth,Noctuoidea,Erebidae,Bastilla,Bastilla acuta acuta,,,,346224,Bastilla acuta acuta,30.1,21.19,0.0997,,,,,,,,,0,1,0.9,4.6,3.7,0,1,0.9,4.6,3.7,,,18-VIII-2015,12.11926823,3.7,
MCTT,97,2993,macromoth,Noctuoidea,Noctuidae,Polia,Polia goliath,,,,346662,Polia goliath,30.48,21.87,0.1911,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
MCTT,98,2993,macromoth,Geometroidea,Geometridae,Arichanna,Arichanna ochrivena,,,,344674,Arichanna ochrivena,26.06,18.72,0.0352,,,,,,,,,0,1,-2.6,-0.5,-1.5,0,1,-2.6,-0.5,-1.5,,,18-VIII-2015,12.11926823,-0.757142857,
MCTT,99,2993,macromoth,Noctuoidea,Noctuidae,Amphipyra,Amphipyra fuscusa,,,,345982,Amphipyra fuscusa,29.82,24.6,0.3171,,,,,,,,,1,0,34.4,38.8,36.4,1,0,34.4,38.8,36.4,,,18-VIII-2015,12.11926823,39.18,嚴重損毀，過濕
MCTT,100,2993,macromoth,Noctuoidea,Noctuidae,Agrotis,Agrotis taiwana,,,,345967,Agrotis taiwana,21.75,16.32,0.0882,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,pinned
MCTT,101,2993,macromoth,Noctuoidea,Noctuidae,Athetis,Athetis stellata,,,,346041,Athetis stellata,13.39,12.51,0.0354,,,,,,,,,0,1,-0.4,-0.9,0.4,0,1,-0.4,-0.9,0.4,,,18-VIII-2015,12.11926823,3.7,
MCTT,102,2993,macromoth,Geometroidea,Geometridae,Ourapteryx,Ourapteryx monticola,,,,345121,Ourapteryx monticola,28.89,19.61,0.06674,,,,,,,,,,,,,,,,,,,,,18-VIII-2015,12.11926823,,
