No.,,label,Family,ID_20210210,ID(ima),Note_2021,Note,Sex,leg,Altitude,Date,,https://docs.google.com/spreadsheets/d/1RHkhHfEt1v9-deuz8HKdCWCuM4Mm_BVllWvMIyoT8iw/edit#gid=698436074,Species,Sex,Dw(g),NOTE,N_W_length,N_B_length,疊,籤,檔案日期,影像問題,Note_Chiou_Specimen,Note_thermal,Hot,Cold,Before.jpg,Temp_min_bf,Temp_max_bf,Temp_avg_bf,After.jpg,Temp_min,Temp_max,Temp_avg,點測,,,,
CATT2128,2128,,Lasiocampidae,CA_LAS04,CA_LAS04,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.08970,,19.27,23.56,,,,,,,0,1,8707_IR.jpg,24,24.2,24.1,8719_IR.jpg,5.6,10.4,8.4,,,,,
CATT2127,2127,,Erebidae,CA_HER07,CA_HER07,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00290,0號針,9.13,7.44,,,,,,,1,0,8705_IR.jpg,22.7,22.9,22.8,8721_IR.jpg,38.7,40.4,39.5,,,,,
CATT2126,2126,,Crambidae,CA_CRA76,CA_CRA76,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00260,0號針，不含針直接秤蛾,8.16,8.05,,,,,,,1,0,8703_IR.jpg,23.3,23.5,23.4,8717_IR.jpg,41.5,42.8,42.3,,,,,
CATT2125,2125,,Erebidae,CA_HER07,CA_HER07,,,f,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00260,0號針,8.67,6.71,,,,,,,0,1,8697_IR.jpg,22.7,23,22.8,8729_IR.jpg,1.7,2.8,-1.9,,,,,
CATT2124,2124,,Erebidae,CA_LYM-Euproctis-08,CA_LYMOO_1,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00460,,9.03,7.2,,,,,,,1,0,8695_IR.jpg,22.8,23,22.9,8711_IR.jpg,42.3,44.4,43.8,,,,,
CATT2123,2123,,Crambidae,CA_CRA111,CA_CRA111,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.01660,,14.79,12.07,,,,,,,0,1,8687_IR.jpg,23.3,23.7,23.6,8699_IR.jpg,7.1,9.5,8.6,,,,,
CATT2122,2122,,Crambidae,CA_CRA62,CA_CRA62,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,-0.33230,,8.91,7.51,,,,,,,1,0,8669_IR.jpg,23.1,23.2,23.2,8693_IR.jpg,40.5,42,41.4,,,,,
CATT2121,2121,,Geometridae,CA_GEO137,CA_GEO137,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00100,0號針，右翅破損量左翅:7.44,,5.5,,,,,,,0,1,8667_IR.jpg,22.2,22.5,22.4,8683_IR.jpg,1.2,1.6,1.4,,,,,
CATT2120,2120,,Erebidae,CA_LIT53,CA_LIT53,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00240,,8.39,6.8,,,,,,,0,1,8661_IR.jpg,24.4,25.1,24.8,8685_IR.jpg,-0.1,0.5,0.4,,,,,
CATT2119,2119,,Erebidae,CA_LIT53,CA_LIT53,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00320,,8.21,7.28,,,,,,,1,0,8659_IR.jpg,23.6,24,23.8,8681_IR.jpg,41.2,43.3,42.4,,,,,
CATT2118,2118,,Erebidae,CA_ARC01,CA_ARC01,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.03900,,19.99,13.93,,,,,,,0,1,8657_IR.jpg,23.9,24.2,24.1,8701_IR.jpg,2.9,4.6,3.8,,,,,
CATT2117,2117,,Erebidae,CA_ARC01,CA_ARC01,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.05660,,20.36,16.23,,,,,,,1,0,8655_IR.jpg,23.2,23.5,23.3,8689_IR.jpg,42.8,44.9,43.8,,,,,
CATT2116,2116,,Geometridae,CA_GEO125-2,CA_GEO125,modify,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.01520,,19.01,15.44,,,,,,,1,0,8651_IR.jpg,23.3,23.5,23.4,8675_IR.jpg,41.5,44,42.4,,,,,
CATT2115,2115,,Geometridae,CA_GEO137,CA_GEO137,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00140,0號針,7.94,6.12,,,,,,,0,1,8649_IR.jpg,23.1,23.4,23.2,8665_IR.jpg,-0.4,1.1,0.4,,,,,
CATT2114,2114,,Pyralidae,CA_PYR17,CA_PYR17,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.01590,,13.05,12.19,,,,,,,0,1,8641_IR.jpg,22.4,23,22.8,8671_IR.jpg,1.9,4,3.3,,,,,
CATT2113,2113,,Crambidae,CA_CRA111,CA_CRA111,,熱影像模糊,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.01210,,13.55,12.55,,,,,,,1,0,8639_IR.jpg,22.5,22.8,22.7,8653_IR.jpg,45,45.6,45.3,,,,,
CATT2112,2112,,Erebidae,CA_ERE27,CA_ERE27,,Pangrapta sp2 ochreous,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.02570,,16.87,15.69,,,,,,,0,1,8637_IR.jpg,23,23.6,23.3,8677_IR.jpg,6.6,8.6,7.8,,,,,
CATT2111,2111,,Geometridae,CA_GEO137,CA_GEO137,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00200,0號針,7.51,5.94,,,,,,,1,0,8629_IR.jpg,22.6,22.7,22.6,8643_IR.jpg,46.1,46.8,46.6,,,,,
CATT2110,2110,,Crambidae,CA_CRA60,CA_CRA60,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00380,,9.05,8.76,,,,,,,0,1,8627_IR.jpg,22,22.4,22.2,8645_IR.jpg,-2.1,-1.4,-1.7,,,,,
CATT2109,2109,,Erebidae,CA_LYM07,CA_LYMOO_1,modify,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00380,,7.94,6.29,,,,,,,1,0,8625_IR.jpg,23,23.1,23,8647_IR.jpg,41.5,43.6,42.4,,,,,
CATT2108,2108,,Erebidae,CA_LYM-Euproctis-09,CA_LYMOO_1,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00370,,8.17,6.11,,,,,,,0,1,8621_IR.jpg,22.7,22.8,22.7,8633_IR.jpg,1.9,2.7,2.3,,,,,
CATT2107,2107,,Erebidae,CA_LYM-Euproctis-07,CA_LYMOO_1,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00520,,9.05,7.61,,,,,,,1,0,8615_IR.jpg,21.8,22.1,21.9,8635_IR.jpg,43.9,45.5,44.9,,,,,
CATT2106,2106,,Erebidae,CA_LYM-Euproctis-03,CA_LYMOO_1,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.02210,,15.86,13.01,,,,,,,1,0,8605_IR.jpg,22,22.3,22.1,8623_IR.jpg,42.7,43.6,43.2,,,,,
CATT2105,2105,,Pyralidae,CA_PYR26,CA_PYR26,,,f,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.01240,,11.1,9.55,,,,,,,0,1,8603_IR.jpg,22.7,23.9,22.8,8631_IR.jpg,1.3,2.8,2.3,,,,,
CATT2104,2104,,Crambidae,CA_CRA85,CA_CRA85,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00510,,9.41,9.21,,,,,,,1,0,8591_IR.jpg,22.4,22.6,22.5,8613_IR.jpg,40.2,41.4,40.8,,,,,
CATT2103,2103,,Geometridae,CA_GEO33-2,CA_GEO33,modify,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00930,,16.71,13.6,,,,,,,0,1,8589_IR.jpg,22.3,22.5,22.4,8619_IR.jpg,1,2.3,1.9,,,,,
CATT2102,2102,,Erebidae,CA_LYM13-2,CA_LYM13,modify,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.04640,,19.15,14.54,,,,,,,1,0,8587_IR.jpg,22.4,22.6,22.5,8617_IR.jpg,43.3,45.9,44.7,,,,,
CATT2101,2101,,Erebidae,CA_LIT37,CA_LIT37,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00380,,7.96,7.77,,,,,,,0,1,8585_IR.jpg,21.7,22,21.9,8611_IR.jpg,-2.1,-0.6,-1.2,,,,,
CATT2100,2100,,Erebidae,CA_LYM12-2,CA_LYM12,modify,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.01360,,18.78,15.32,,,,,,,1,0,8583_IR.jpg,21.7,21.8,21.8,8601_IR.jpg,41.8,43.9,43.2,,,,,
CATT2099,2099,,Crambidae,CA_CRA46,CA_CRA46,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00650,,11.81,10.04,,,,,,,0,1,8581_IR.jpg,21.3,21.5,21.4,8595_IR.jpg,1.9,3.1,2.6,,,,,
CATT2098,2098,,Crambidae,CA_CRA64,CA_CRA64,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00710,,10.83,10.46,,,,,,,0,1,8579_IR.jpg,21.1,21.2,21.2,8599_IR.jpg,1.2,2.4,2,,,,,
CATT2097,2097,,Crambidae,CA_CRA02,CA_CRA02,,RSimage,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.01510,,12.18,11.59,,,,,,,1,0,8577_IR.jpg,21.8,22.1,21.9,8593_IR.jpg,41.8,44.5,42.9,,,,,
CATT2096,2096,,Erebidae,CA_LYM07,CA_LYM07,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00470,,9.66,7.37,,,,,,,0,1,8575_IR.jpg,20.8,20.9,20.8,8609_IR.jpg,-1.9,-1,-1.3,,,,,
CATT2095,2095,,Erebidae,CA_ERE27,CA_ERE29,modify,,f,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.03230,,17.81,15.01,,,,,,,1,0,8567_IR.jpg,23.2,23.5,23.4,8571_IR.jpg,41.8,43.5,42.9,,,,,
CATT2094,2094,,Erebidae,CA_HER14-2,CA_HER14,modify,,f,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.01270,,11.85,11.21,,,,,,,0,1,8559_IR.jpg,23,23.3,23.2,8573_IR.jpg,2.8,4.5,3.8,,,,,
CATT2093,2093,,Erebidae,CA_HER14,CA_HER29,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00950,,12.73,10.89,,,,,,,1,0,8555_IR.jpg,23.4,23.7,23.5,8565_IR.jpg,40.5,42.5,41.5,,,,,
CATT2092,2092,,Erebidae,CA_HER07,CA_HER07,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00330,0號針,9.24,8.28,,,,,,,,,8553_IR.jpg,22.8,22.9,22.8,,,,,,,,,
CATT2091,2091,,Erebidae,CA_HER13,CA_HER13,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.01740,,14.38,12.57,,,,,,,1,0,8547_IR.jpg,23.5,23.7,23.6,8561_IR.jpg,43.7,45.9,45.3,,,,,
CATT2090,2090,,Erebidae,CA_HER13,CA_HER13,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.01720,,14.21,12.06,,,,,,,0,1,8543_IR.jpg,22.6,22.7,22.6,8563_IR.jpg,3.1,4.9,4.2,,,,,
CATT2089,2089,,Geometridae,CA_GEO33-2,CA_GEO33,modify,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00830,,15.22,13.17,,,,,,,1,0,8541_IR.jpg,23.6,24.3,24,8557_IR.jpg,44.9,46.8,45.9,,,,,
CATT2088,2088,,Geometridae,CA_GEO137,CA_GEO137,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00060,0號針，展翅前下半身失蹤,7.69,,,,,,,,0,1,8533_IR.jpg,23.2,23.4,23.3,8569_IR.jpg,-1,0.8,0,,,,,
CATT2087,2087,,Geometridae,CA_GEO93,CA_GEO93,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00460,,10.74,6.75,,,,,,,1,0,8529_IR.jpg,23.1,23.2,23.1,8551_IR.jpg,43.1,44.5,43.8,,,,,
CATT2086,2086,,Hypeninae,CA_NAA01,CA_HER08,modify,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00190,0號針,9.09,7.33,,,,,,,0,1,8527_IR.jpg,22.9,23.2,23.1,8549_IR.jpg,0.2,1.1,0.7,,,,,
CATT2085,2085,,Hypeninae,CA_NAA01,CA_HER08,modify,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00210,0號針,9,7.28,,,,,,,1,0,8523_IR.jpg,23.1,23.1,23.1,8539_IR.jpg,44.8,46.9,45.9,,,,,
CATT2084,2084,,Hypeninae,CA_NAA01,CA_HER08,modify,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00170,0號針,8.27,6.9,,,,,,,1,0,8521_IR.jpg,22.9,23,23,8537_IR.jpg,43.1,44.9,44,,,,,
CATT2083,2083,,Erebidae,CA_HER15,CA_HER15,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00770,,10.79,9.21,,,,,,,0,1,8513_IR.jpg,23.4,23.5,23.5,8525_IR.jpg,4.5,6.7,5.6,,,,,
CATT2082,2082,,Erebidae,CA_HER07,CA_HER07,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00310,0號針,9.06,8.09,,,,,,,1,0,8511_IR.jpg,23.2,23.3,23.2,8531_IR.jpg,42.6,45.6,44.5,,,,,
CATT2081,2081,,Hypeninae,CA_NAA01,CA_HER08,modify,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00120,0號針,8.77,7.83,,,,,,,0,1,8501_IR.jpg,22.9,23,23,8515_IR.jpg,2.2,3.1,2.8,,,,,
CATT2080,2080,,Geometridae,CA_GEO17,CA_GEO17,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00920,,15.85,12.14,,,,,,,1,0,8499_IR.jpg,23.4,23.6,23.5,8519_IR.jpg,42.9,45.1,44,,,,,
CATT2079,2079,,Erebidae,CA_ARC01,CA_ARC01,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.05760,,20.94,15.46,,,,,,,0,1,8493_IR.jpg,23,23.2,23.1,8517_IR.jpg,1.7,3.1,2.4,,,,,
CATT2078,2078,,Erebidae,CA_LYM01-1,CA_LYM01,modify,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.11380,,22.15,18.41,,,,,,,0,1,8487_IR.jpg,23.3,23.5,23.4,8509_IR.jpg,8.4,10.7,10,,,,,
CATT2077,2077,,Erebidae,CA_LYM01-1,CA_LYM01,modify,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.06210,不含針直接秤蛾,23.36,17.85,,,,,,,1,0,8485_IR.jpg,23,23.3,23.2,8507_IR.jpg,41.7,44.7,43.9,,,,,
CATT2076,2076,,Crambidae,CA_CRA2021-02,CA_PYR02,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.06840,,19.05,20.1,,,,,,,1,0,8481_IR.jpg,22.7,23,22.9,8503_IR.jpg,38.3,43.1,42.3,,,,,
CATT2075,2075,,Crambidae,CA_CRA2021-02,CA_PYR02,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.02560,,16.49,16.79,,,,,,,0,1,8479_IR.jpg,23.6,23.9,23.8,8497_IR.jpg,3.9,5.6,4.6,,,,,
CATT2074,2074,,Crambidae,CA_CRA2021-02,CA_PYR02,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.04480,,18.36,18.26,,,,,,,1,0,8477_IR.jpg,23.2,23.6,23.4,8495_IR.jpg,43.9,45.4,44.8,,,,,
CATT2073,2073,,Geometridae,CA_GEO85-2,CA_GEO85,modify,熱影像模糊,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.02230,,20.5,14.77,,,,,,,0,1,8475_IR.jpg,22.8,23,22.9,8505_IR.jpg,0,0.7,0.5,,,,,
CATT2072,2072,,Geometridae,CA_GEO85,CA_GEO85,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.01710,,19.02,13.41,,,,,,,1,0,8473_IR.jpg,23.7,24.1,23.9,8491_IR.jpg,40.5,42.2,41.4,,,,,
CATT2071,2071,,Geometridae,CA_GEO74,CA_GEO74,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00820,,17.95,11.2,,,,,,,1,0,8463_IR.jpg,23.3,23.5,23.4,8483_IR.jpg,43.6,46.2,45.3,,,,,
CATT2070,2070,,Geometridae,CA_GEO84,CA_GEO84,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.01480,,18.96,14.38,,,,,,,0,1,8461_IR.jpg,23.8,24.1,24,8489_IR.jpg,-0.1,2.2,1.6,,,,,
CATT2069,2069,,Crambidae,CA_CRA46,CA_CRA46,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00800,,11.25,11.07,,,,,,,1,0,8453_IR.jpg,22.8,23.3,23,8465_IR.jpg,41.7,42.7,42.1,,,,,
CATT2068,2068,,Geometridae,CA_GEO02,,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00930,,13.94,10.29,,,,,,,0,1,8449_IR.jpg,23.1,23.2,23.2,8457_IR.jpg,1.1,2.2,1.8,,,,,
CATT2067,2067,,Geometridae,CA_GEO02,,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00510,黏合頭後量體長,13.5,10.81,,,,,,,1,0,8447_IR.jpg,23.2,23.3,23.2,8459_IR.jpg,41.4,43.5,42.2,,,,,
CATT2066,2066,,Geometridae,CA_GEO02,CA_GEO02,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00790,,13.7,12.11,,,,,,,0,1,8435_IR.jpg,22.6,22.8,22.7,8469_IR.jpg,0.8,1.9,1.6,,,,,
CATT2065,2065,,Geometridae,CA_GEO02,,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00740,,13.1,9.88,,,,,,,1,0,8433_IR.jpg,23,23.3,23.1,8451_IR.jpg,39.7,43.5,41.3,,,,,
CATT2064,2064,,Geometridae,CA_GEO02,CA_GEO02,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00990,,14.06,9.88,,,,,,,0,1,8431_IR.jpg,23.2,23.4,23.3,8455_IR.jpg,1.7,3.6,2.9,,,,,
CATT2063,2063,,Geometridae,CA_GEO02,,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00710,,12.88,10.03,,,,,,,1,0,8427_IR.jpg,23.4,23.6,23.5,8445_IR.jpg,41.2,44.1,43.1,,,,,
CATT2062,2062,,Geometridae,CA_GEO02,,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00950,,14.6,10.34,,,,,,,0,1,8425_IR.jpg,23.5,23.7,23.6,8437_IR.jpg,3.6,5.7,4.8,,,,,
CATT2061,2061,,Geometridae,CA_GEO02,CA_GEO02,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00810,,14.48,9.47,,,,,,,1,0,8423_IR.jpg,23.3,23.5,23.4,8441_IR.jpg,43.3,44.5,44,,,,,
CATT2060,2060,,Geometridae,CA_GEO02,,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00930,,13.98,10.32,,,,,,,0,1,8417_IR.jpg,22.4,22.6,22.5,8443_IR.jpg,2,2.8,2.5,,,,,
CATT2059,2059,,Geometridae,CA_GEO02,CA_GEO02,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00710,,14,11.07,,,,,,,1,0,8415_IR.jpg,22.6,22.7,22.7,8429_IR.jpg,39,41.9,39.9,,,,,
CATT2058,2058,,Geometridae,CA_GEO02,,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00990,,13.76,10.51,,,,,,,0,1,8413_IR.jpg,22.2,22.6,22.5,8439_IR.jpg,3,7.2,4.8,,,,,
CATT2057,2057,,Geometridae,CA_GEO02,CA_GEO02,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00620,,13.55,10.03,,,,,,,1,0,8411_IR.jpg,22.9,23,23,8421_IR.jpg,44.4,45.2,44.8,,,,,
CATT2056,2056,,Erebidae,CA_LYM15,CA_LYM15,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.01430,,15.75,11.13,,,,,,,0,1,8409_IR.jpg,23,23.1,23.1,8419_IR.jpg,0.9,2.1,1.9,,,,,
CATT2055,2055,,Erebidae,CA_HER25,CA_HER25,,,f,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.00430,,9.38,7.13,,,,,,,0,1,8397_IR.jpg,24.2,24.6,24.4,8407_IR.jpg,2.7,3.7,3.2,,,,,
CATT2054,2054,,Erebidae,CA_HER31,CA_HER31,,,m,,509,11-VIII-2019,"4.575478, 101.264097","N4°34'31.72"" E101°15'50.75""",,,0.02210,,20.06,17.2,,,,,,,0,1,8389_IR.jpg,24,24.4,24.2,8405_IR.jpg,9.1,10.5,10,,,,,
